#       RW:                  X:                  Y:                  Z:
        492                   0                   2                   2
        493                   2                  -9                  11
        494                   4                   6                 -10
        495                   4                   6                  -2
        496                  -4                  -4                  -2
        497                   7                  -2                  -7
        498                   9                   1                  -4
        499                  -1                   2                   1
        500                  -3                  -6                   7
        501                   5                  -3                   6
        502                 -10                   1                   5
        503                  -5                   1                  -2
        504                  -4                  -6                   0
        505                   3                   3                   6
        506                  -9                  -7                   0
        507                   2                  -2                   0
        508                   5                  -3                   6
        509                   6                  -5                  -1
        510                  -2                  -4                  -2
        511                   9                  10                   7
        512                   3                   0                   9
        513                  -8                 -10                   2
        514                   3                  -5                  -4
        515                   4                  -2                   0
        516                  -7                   4                   1
        517                   1                  -1                   0
        518                   0                   3                   3
        519                   0                   2                   8
        520                   6                   0                  -8
        521                   2                  -7                  -5
        522                   6                   2                   8
        523                  -4                  -4                   0
        524                   0                  10                   0
        525                  -4                  -7                   1
        526                 -15                   7                 -16
        527                  -5                  -2                  -1
        528                  -3                   0                   3
        529                   5                  -7                   4
        530                   0                  -9                   1
        531                  -2                   6                  -8
        532                  -1                  11                  10
        533                  -1                  -7                 -10
        534                  -3                  -2                 -11
        535                   3                   0                   9
        536                   3                   4                  -5
        537                   3                   9                  -6
        538                  -1                   0                   3
        539                  -7                  -3                  -4
        540                   0                   0                  -6
        541                  -2                  -2                  -4
        542                   5                   0                  -1
        543                  -6                  -4                 -10
        544                   4                   1                   9
        545                  -2                  -1                   9
        546                  -2                   2                   6
        547                   7                   3                   8
        548                  -7                   2                  -5
        549                   2                  -3                  -5
        550                  -8                  -3                  -5
        551                  -3                  -9                   8
        552                  -4                   1                  -1
        553                  11                  12                  -5
        554                   1                  -3                  12
        555                   7                   1                 -12
        556                   7                 -12                   5
        557                  -9                  -2                   5
        558                   3                  -2                  -1
        559                   7                   3                  -8
        560                   8                  -7                  -3
        561                   1                  -2                   9
        562                  -6                   5                   5
        563                   1                  -5                   0
        564                  -1                   3                  -2
        565                   5                   1                  -4
        566                   3                   3                   4
        567                   0                  -2                   0
        568                   9                   1                  -6
        569                   7                   9                  -2
        570                   0                   6                  -4
        571                   2                   5                   1
        572                   6                   1                   1
        573                   4                   8                  -6
        574                 -12                  -1                  -7
        575                  -9                  -4                  -7
        576                 -17                   0                   1
        577                  -5                 -12                   3
        578                  -6                  -8                  -4
        579                  -6                  -4                 -14
        580                  -5                  -6                  -1
        581                   6                 -17                   1
        582                  -1                   1                   0
        583                  -7                  -5                  -6
        584                  -3                   9                   2
        585                   7                   3                  -2
        586                  -2                  -1                  -7
        587                 -15                   0                  -9
        588                  -7                   4                   1
        589                   9                   5                  -2
        590                   3                   4                  -7
        591                   0                   1                   7
        592                   2                  -3                   5
        593                   4                  -6                   0
        594                 -11                  12                   1
        595                   1                  -2                   1
        596                   3                  -5                   8
        597                   2                   3                  -1
        598                   1                  -1                   2
        599                  19                   3                  -2
        600                   8                   1                   7
        601                   5                   4                   7
        602                   2                  -3                   1
        603                   5                  -6                   1
        604                  -2                   2                  -8
        605                   5                   3                   2
        606                   1                   6                   1
        607                  12                  -4                   0
        608                   0                   2                   2
        609                 -10                   2                  -6
        610                  -4                   8                  10
        611                   5                   7                   6
        612                   3                   2                   3
        613                   3                   3                   0
        614                  -3                  -6                  -3
        615                  -3                  -2                   1
        616                   1                 -10                   1
        617                   9                  -3                   4
        618                  -4                 -14                  -8
        619                  -6                 -12                  -4
        620                   4                  -2                   4
        621                 -10                   2                  -8
        622                  -1                   1                  -2
        623                  -4                   3                   3
        624                  -3                   1                  16
