#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
          11             3.85795            0.168095            0.121874           0.0137383
          11             4.14372           0.0640885           0.0987204           0.0093521
          11             4.42949           0.0632137           0.0493064          0.00721558
          11             4.71527           0.0466731           0.0406039          0.00771913
          11             5.00104            0.020218           0.0185494          0.00468515
          11             5.28682          0.00612372          0.00578794          0.00168724
          11             5.57259          0.00722535          0.00588661          0.00222985
          11             5.85836            0.009947          0.00310752           0.0012289
          11             6.14414                   0         0.000811489         0.000721322
          11             6.42991                   0          0.00242858          0.00156639
          11             6.71568                   0           0.0026274          0.00168592
          11             7.00146                   0         0.000125184         0.000119359
          11             7.28723                   0                   0                   0
          11             7.57301                   0                   0                   0
          11             7.85878                   0                   0                   0
          11             8.14455                   0                   0                   0
          11             8.43033                   0                   0                   0


          12            0.142887         6.48013e-05          0.00142158         0.000654899
          12            0.428661           0.0444537           0.0391116          0.00553662
          12            0.714435            0.151133            0.113724           0.0122898
          12             1.00021            0.211268            0.185518           0.0113794
          12             1.28598            0.308973            0.319838           0.0188941
          12             1.57176            0.282696            0.319288           0.0153642
          12             1.85753            0.372964            0.389916           0.0153089
          12              2.1433            0.426846            0.393667           0.0176789
          12             2.42908            0.388565            0.386336           0.0145462
          12             2.71485            0.301521            0.358538           0.0115942
          12             3.00062            0.270675             0.28842           0.0098242
          12              3.2864            0.186304            0.216878           0.0106087
          12             3.57217            0.160529            0.133167          0.00853644
          12             3.85795            0.106679            0.120607           0.0126517
          12             4.14372            0.105983           0.0993256          0.00859232
          12             4.42949            0.130024           0.0560329          0.00923165
          12             4.71527           0.0394154           0.0405049          0.00707651
          12             5.00104          0.00199264           0.0171696          0.00449329
          12             5.28682          0.00186304          0.00546086          0.00157802
          12             5.57259          0.00398528          0.00572817          0.00204965
          12             5.85836          0.00333727          0.00312666          0.00112664
          12             6.14414                   0         0.000743865         0.000664374
          12             6.42991                   0           0.0022262          0.00144887
          12             6.71568                   0          0.00240845          0.00155958
          12             7.00146                   0         0.000114752         0.000109867
          12             7.28723                   0                   0                   0
          12             7.57301                   0                   0                   0
          12             7.85878                   0                   0                   0
          12             8.14455                   0                   0                   0
          12             8.43033                   0                   0                   0


          13            0.142887         0.000615613          0.00135958         0.000607449
          13            0.428661           0.0367261           0.0389281          0.00511377
          13            0.714435            0.109709            0.113415           0.0113484
          13             1.00021            0.168564            0.184214           0.0105786
          13             1.28598            0.291185            0.317634           0.0175688
          13             1.57176            0.371069            0.323271           0.0146896
          13             1.85753            0.452167            0.394705           0.0148613
          13              2.1433            0.515592            0.403045           0.0186415
          13             2.42908             0.32587            0.381685           0.0141513
          13             2.71485            0.218105            0.347735           0.0149083
          13             3.00062            0.200609            0.281665           0.0111514
          13              3.2864            0.222706            0.217326          0.00980212
          13             3.57217            0.149221            0.134402          0.00796862
          13             3.85795            0.137136            0.121879           0.0117422
          13             4.14372             0.18065            0.105581           0.0099514
          13             4.42949           0.0607026           0.0563921          0.00852851
          13             4.71527           0.0132519           0.0384085          0.00683563
          13             5.00104           0.0129927           0.0168483          0.00415912
          13             5.28682           0.0302784           0.0073699           0.0023422
          13             5.57259          0.00212224          0.00545079          0.00191066
          13             5.85836                   0          0.00288615          0.00106534
          13             6.14414                   0         0.000686645         0.000615727
          13             6.42991                   0          0.00205495           0.0013475
          13             6.71568                   0          0.00222318          0.00145057
          13             7.00146                   0         0.000105925          0.00010177
          13             7.28723                   0                   0                   0
          13             7.57301                   0                   0                   0
          13             7.85878                   0                   0                   0
          13             8.14455                   0                   0                   0
          13             8.43033                   0                   0                   0


