#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
         1.61605e-05            0.770766            0.628857           -0.447994          0.00888649                   0           -0.824471
         1.53525e-05            0.880567            0.650189           -0.438396          0.00869468                0.28            -1.33484
         1.45849e-05            0.904473            0.643745           -0.410569          0.00816274            0.613333            0.706603
         1.38556e-05             0.79033            0.625114           -0.442951          0.00878293            0.733333            0.799474
         1.31628e-05            0.791824            0.623967           -0.449576           0.0089098           0.0133333            -0.93066
         1.25047e-05            0.815332            0.592711           -0.440541          0.00873226            0.546667            0.582892
         1.18795e-05            0.741551            0.585454           -0.437956          0.00868118            0.146667             1.07926
         1.12855e-05            0.785758            0.589041           -0.437574          0.00868193                0.56            0.140779
         1.07212e-05             0.84999            0.611815           -0.431204          0.00855491            0.546667          -0.0224703
         1.01852e-05            0.694115            0.590142           -0.433399          0.00860046            0.413333             1.48298
          9.6759e-06            0.873614            0.599895           -0.425923          0.00845612            0.653333           0.0278394
          9.1921e-06            0.746369            0.618528           -0.438313          0.00868993            0.573333           -0.855059
          8.7325e-06            0.783686            0.621045           -0.441291          0.00875442            0.253333           -0.591596
         8.29587e-06            0.904801            0.620713           -0.444876           0.0088261            0.106667             1.53372
         7.88108e-06            0.737257             0.62627           -0.425282           0.0084339                0.72            0.336888
         7.48703e-06            0.793977            0.628862           -0.443496           0.0088025                0.44            -1.16746
         7.11267e-06            0.725705            0.635669           -0.442513          0.00877951                0.12           -0.172248
         6.75704e-06            0.776266            0.661293           -0.432711          0.00858697            0.626667             0.81957
         6.41919e-06             0.80996             0.65542           -0.432499          0.00858523            0.466667            0.402695
         6.09823e-06            0.800253            0.623112           -0.443577          0.00879153                0.44              1.0624
         5.79332e-06             0.74665             0.63186           -0.439671          0.00872144            0.253333           -0.843392
         5.50365e-06            0.848525            0.612485           -0.434378          0.00862556            0.573333            0.804529
         5.22847e-06            0.823281            0.619931           -0.442087          0.00877069                0.28             1.18539
         4.96705e-06            0.757086            0.627953             -0.4447          0.00881739            0.133333            0.921754
         4.71869e-06            0.872224            0.630962           -0.435681          0.00864278            0.493333             0.98492
         4.48276e-06             0.75403            0.652719           -0.427144          0.00847543                0.56           -0.411058
         4.25862e-06            0.671533            0.627986           -0.431026          0.00855319            0.506667           -0.250028
