#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
         252             1.43119             1.42696         0.000114667
         253             1.43125             1.42698         0.000115457
         254              1.4313               1.427         0.000116251
         255             1.43136             1.42701         0.000117048
         256             1.43142             1.42703         0.000117848
         257             1.43147             1.42705         0.000118652
         258             1.43153             1.42706         0.000119458
         259             1.43159             1.42708         0.000120268
         260             1.43165              1.4271         0.000121081
         261             1.43171             1.42712         0.000121897
         262             1.43177             1.42713         0.000122716
         263             1.43183             1.42715         0.000123539
         264             1.43189             1.42717         0.000124365
         265             1.43195             1.42719         0.000125194
         266             1.43201             1.42721         0.000126026
         267             1.43207             1.42722         0.000126862
         268             1.43213             1.42724         0.000127701
         269             1.43219             1.42726         0.000128543
         270             1.43225             1.42728         0.000129389
         271             1.43231              1.4273         0.000130238
         272             1.43238             1.42732         0.000131091
         273             1.43244             1.42734         0.000131946
         274              1.4325             1.42735         0.000132805
         275             1.43257             1.42737         0.000133668
         276             1.43263             1.42739         0.000134534
         277              1.4327             1.42741         0.000135403
         278             1.43276             1.42743         0.000136276
         279             1.43283             1.42745         0.000137152
         280             1.43289             1.42747         0.000138032
         281             1.43296             1.42749         0.000138915
         282             1.43302             1.42751         0.000139802
         283             1.43309             1.42753         0.000140692
         284             1.43316             1.42755         0.000141586
         285             1.43323             1.42757         0.000142484
         286             1.43329             1.42759         0.000143384
         287             1.43336             1.42761         0.000144289
         288             1.43343             1.42763         0.000145197
         289              1.4335             1.42765         0.000146109
         290             1.43357             1.42767         0.000147024
         291             1.43364             1.42769         0.000147943
         292             1.43371             1.42771         0.000148866
         293             1.43378             1.42773         0.000149792
         294             1.43385             1.42775         0.000150722
         295             1.43392             1.42777         0.000151656
         296               1.434             1.42779         0.000152593
         297             1.43407             1.42782         0.000153534
         298             1.43414             1.42784         0.000154479
         299             1.43421             1.42786         0.000155428
         300             1.43429             1.42788         0.000156381
         301             1.43436              1.4279         0.000157337
         302             1.43444             1.42792         0.000158297
         303             1.43451             1.42794         0.000159262
         304             1.43459             1.42797         0.000160229
         305             1.43466             1.42799         0.000161201
         306             1.43474             1.42801         0.000162177
         307             1.43482             1.42803         0.000163157
         308             1.43489             1.42805          0.00016414
         309             1.43497             1.42808         0.000165128
         310             1.43505              1.4281          0.00016612
         311             1.43513             1.42812         0.000167115
         312             1.43521             1.42814         0.000168115
         313             1.43529             1.42817         0.000169118
         314             1.43536             1.42819         0.000170126
         315             1.43545             1.42821         0.000171138
         316             1.43553             1.42824         0.000172154
         317             1.43561             1.42826         0.000173173
         318             1.43569             1.42828         0.000174198
         319             1.43577             1.42831         0.000175226
         320             1.43585             1.42833         0.000176258
         321             1.43594             1.42835         0.000177295
         322             1.43602             1.42838         0.000178335
         323              1.4361              1.4284          0.00017938
         324             1.43619             1.42843          0.00018043
         325             1.43627             1.42845         0.000181483
