#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
         277             0.95513            0.951608         9.02689e-05
         278            0.955173            0.951621         9.08507e-05
         279            0.955217            0.951634         9.14349e-05
         280            0.955261            0.951647         9.20214e-05
         281            0.955305             0.95166         9.26103e-05
         282            0.955349            0.951673         9.32014e-05
         283            0.955394            0.951686         9.37949e-05
         284            0.955438            0.951699         9.43908e-05
         285            0.955484            0.951712          9.4989e-05
         286            0.955529            0.951726         9.55896e-05
         287            0.955574            0.951739         9.61926e-05
         288             0.95562            0.951753          9.6798e-05
         289            0.955666            0.951766         9.74058e-05
         290            0.955713             0.95178          9.8016e-05
         291            0.955759            0.951793         9.86287e-05
         292            0.955806            0.951807         9.92437e-05
         293            0.955854            0.951821         9.98613e-05
         294            0.955901            0.951835         0.000100481
         295            0.955949            0.951849         0.000101104
         296            0.955997            0.951863         0.000101729
         297            0.956045            0.951877         0.000102356
         298            0.956094            0.951891         0.000102986
         299            0.956143            0.951905         0.000103619
         300            0.956192             0.95192         0.000104254
         301            0.956241            0.951934         0.000104891
         302            0.956291            0.951948         0.000105532
         303            0.956341            0.951963         0.000106174
         304            0.956391            0.951977          0.00010682
         305            0.956442            0.951992         0.000107468
         306            0.956493            0.952007         0.000108118
         307            0.956544            0.952022         0.000108771
         308            0.956595            0.952036         0.000109427
         309            0.956647            0.952051         0.000110085
         310            0.956699            0.952066         0.000110746
         311            0.956751            0.952081          0.00011141
         312            0.956804            0.952096         0.000112077
         313            0.956857            0.952112         0.000112746
         314             0.95691            0.952127         0.000113417
         315            0.956963            0.952142         0.000114092
         316            0.957017            0.952158         0.000114769
         317            0.957071            0.952173         0.000115449
         318            0.957126            0.952189         0.000116132
         319            0.957181            0.952204         0.000116817
         320            0.957236             0.95222         0.000117505
         321            0.957291            0.952236         0.000118196
         322            0.957347            0.952252          0.00011889
         323            0.957403            0.952268         0.000119587
         324            0.957459            0.952284         0.000120286
         325            0.957516              0.9523         0.000120989
         326            0.957573            0.952316         0.000121694
         327             0.95763            0.952332         0.000122402
         328            0.957688            0.952349         0.000123113
         329            0.957746            0.952365         0.000123827
         330            0.957804            0.952382         0.000124544
         331            0.957863            0.952398         0.000125263
         332            0.957922            0.952415         0.000125986
         333            0.957981            0.952431         0.000126712
         334             0.95804            0.952448          0.00012744
         335              0.9581            0.952465         0.000128172
         336            0.958161            0.952482         0.000128906
         337            0.958221            0.952499         0.000129644
         338            0.958282            0.952516         0.000130385
         339            0.958344            0.952533         0.000131128
         340            0.958405            0.952551         0.000131875
         341            0.958467            0.952568         0.000132625
         342             0.95853            0.952585         0.000133378
         343            0.958592            0.952603         0.000134133
         344            0.958655            0.952621         0.000134893
         345            0.958719            0.952638         0.000135655
         346            0.958783            0.952656          0.00013642
         347            0.958847            0.952674         0.000137188
         348            0.958911            0.952692          0.00013796
         349            0.958976             0.95271         0.000138735
         350            0.959041            0.952728         0.000139513
         351            0.959107            0.952746         0.000140294
         352            0.959173            0.952764         0.000141078
         353            0.959239            0.952783         0.000141866
         354            0.959306            0.952801         0.000142657
         355            0.959373             0.95282         0.000143451
         356             0.95944            0.952838         0.000144249
         357            0.959508            0.952857          0.00014505
         358            0.959576            0.952876         0.000145854
         359            0.959645            0.952894         0.000146661
         360            0.959714            0.952913         0.000147472
         361            0.959783            0.952932         0.000148286
         362            0.959853            0.952952         0.000149104
         363            0.959923            0.952971         0.000149925
         364            0.959993             0.95299         0.000150749
         365            0.960064            0.953009         0.000151577
         366            0.960136            0.953029         0.000152408
         367            0.960207            0.953048         0.000153243
         368            0.960279            0.953068         0.000154081
         369            0.960352            0.953088         0.000154923
         370            0.960425            0.953108         0.000155768
         371            0.960498            0.953128         0.000156617
         372            0.960572            0.953148         0.000157469
         373            0.960646            0.953168         0.000158325
         374            0.960721            0.953188         0.000159184
         375            0.960796            0.953208         0.000160047
         376            0.960871            0.953229         0.000160914
         377            0.960947            0.953249         0.000161784
         378            0.961023             0.95327         0.000162658
         379              0.9611             0.95329         0.000163535
         380            0.961177            0.953311         0.000164417
         381            0.961254            0.953332         0.000165302
         382            0.961332            0.953353          0.00016619
         383            0.961411            0.953374         0.000167083
         384            0.961489            0.953395         0.000167979
         385            0.961569            0.953416         0.000168879
         386            0.961648            0.953438         0.000169783
         387            0.961728            0.953459          0.00017069
         388            0.961809            0.953481         0.000171602
         389             0.96189            0.953502         0.000172517
         390            0.961972            0.953524         0.000173436
         391            0.962054            0.953546         0.000174359
         392            0.962136            0.953568         0.000175286
         393            0.962219             0.95359         0.000176217
         394            0.962302            0.953612         0.000177151
         395            0.962386            0.953634          0.00017809
         396             0.96247            0.953656         0.000179033
         397            0.962555            0.953679          0.00017998
         398             0.96264            0.953701          0.00018093
         399            0.962726            0.953724         0.000181885
         400            0.962812            0.953747         0.000182844
         401            0.962899            0.953769         0.000183807
         402            0.962986            0.953792         0.000184774
         403            0.963073            0.953815         0.000185745
         404            0.963161            0.953838         0.000186721
         405             0.96325            0.953862           0.0001877
         406            0.963339            0.953885         0.000188684
         407            0.963429            0.953908         0.000189672
         408            0.963519            0.953932         0.000190664
         409            0.963609            0.953956          0.00019166
         410              0.9637            0.953979         0.000192661
         411            0.963792            0.954003         0.000193666
         412            0.963884            0.954027         0.000194675
         413            0.963977            0.954051         0.000195688
         414             0.96407            0.954076         0.000196706
         415            0.964164              0.9541         0.000197729
         416            0.964258            0.954124         0.000198755
         417            0.964353            0.954149         0.000199786
         418            0.964448            0.954173         0.000200822
         419            0.964544            0.954198         0.000201862
         420             0.96464            0.954223         0.000202907
         421            0.964737            0.954248         0.000203956
         422            0.964834            0.954273         0.000205009
         423            0.964932            0.954298         0.000206067
         424            0.965031            0.954324          0.00020713
         425             0.96513            0.954349         0.000208198
         426            0.965229            0.954375          0.00020927
         427            0.965329              0.9544         0.000210346
         428             0.96543            0.954426         0.000211427
         429            0.965532            0.954452         0.000212514
         430            0.965633            0.954478         0.000213604
         431            0.965736            0.954504           0.0002147
         432            0.965839             0.95453           0.0002158
         433            0.965943            0.954557         0.000216905
         434            0.966047            0.954583         0.000218015
         435            0.966152             0.95461          0.00021913
         436            0.966257            0.954636          0.00022025
         437            0.966363            0.954663         0.000221374
         438            0.966469             0.95469         0.000222504
         439            0.966577            0.954717         0.000223638
         440            0.966684            0.954745         0.000224778
         441            0.966793            0.954772         0.000225922
         442            0.966902            0.954799         0.000227072
         443            0.967012            0.954827         0.000228227
         444            0.967122            0.954855         0.000229386
         445            0.967233            0.954882         0.000230551
         446            0.967344             0.95491         0.000231721
         447            0.967457            0.954938         0.000232897
         448            0.967569            0.954967         0.000234077
         449            0.967683            0.954995         0.000235263
         450            0.967797            0.955023         0.000236454
         451            0.967912            0.955052          0.00023765
         452            0.968027            0.955081         0.000238852
         453            0.968143            0.955109         0.000240059
         454             0.96826            0.955138         0.000241272
         455            0.968378            0.955168          0.00024249
         456            0.968496            0.955197         0.000243713
         457            0.968615            0.955226         0.000244942
         458            0.968734            0.955256         0.000246177
         459            0.968855            0.955285         0.000247417
         460            0.968976            0.955315         0.000248663
         461            0.969097            0.955345         0.000249914
         462             0.96922            0.955375         0.000251171
         463            0.969343            0.955405         0.000252434
         464            0.969467            0.955435         0.000253703
         465            0.969591            0.955466         0.000254977
         466            0.969717            0.955496         0.000256257
         467            0.969843            0.955527         0.000257543
         468             0.96997            0.955558         0.000258835
         469            0.970097            0.955589         0.000260133
         470            0.970226             0.95562         0.000261437
         471            0.970355            0.955651         0.000262747
         472            0.970485            0.955683         0.000264063
         473            0.970615            0.955714         0.000265385
         474            0.970747            0.955746         0.000266714
         475            0.970879            0.955778         0.000268048
         476            0.971012             0.95581         0.000269389
         477            0.971146            0.955842         0.000270736
         478            0.971281            0.955874         0.000272089
         479            0.971416            0.955907         0.000273449
         480            0.971553            0.955939         0.000274815
         481             0.97169            0.955972         0.000276188
         482            0.971828            0.956005         0.000277567
         483            0.971967            0.956038         0.000278953
         484            0.972106            0.956071         0.000280345
         485            0.972247            0.956105         0.000281744
         486            0.972389            0.956138         0.000283149
         487            0.972531            0.956172         0.000284562
         488            0.972674            0.956206         0.000285981
         489            0.972818             0.95624         0.000287407
         490            0.972963            0.956274          0.00028884
         491            0.973109            0.956308         0.000290279
         492            0.973256            0.956343         0.000291726
         493            0.973404            0.956377          0.00029318
         494            0.973552            0.956412         0.000294641
         495            0.973702            0.956447         0.000296109
         496            0.973853            0.956482         0.000297584
         497            0.974004            0.956517         0.000299066
         498            0.974157            0.956553         0.000300556
         499             0.97431            0.956588         0.000302053
         500            0.974465            0.956624         0.000303558
         501             0.97462             0.95666          0.00030507
         502            0.974777            0.956696         0.000306589
         503            0.974934            0.956732         0.000308116
         504            0.975093            0.956769         0.000309651
         505            0.975252            0.956805         0.000311193
         506            0.975413            0.956842         0.000312744
         507            0.975575            0.956879         0.000314302
         508            0.975737            0.956916         0.000315868
         509            0.975901            0.956953         0.000317442
         510            0.976066            0.956991         0.000319024
         511            0.976232            0.957029         0.000320614
         512            0.976399            0.957066         0.000322212
         513            0.976567            0.957104         0.000323818
         514            0.976736            0.957143         0.000325433
         515            0.976907            0.957181         0.000327056
         516            0.977078            0.957219         0.000328688
         517            0.977251            0.957258         0.000330328
         518            0.977425            0.957297         0.000331976
         519              0.9776            0.957336         0.000333633
         520            0.977776            0.957376         0.000335299
         521            0.977953            0.957415         0.000336974
         522            0.978132            0.957455         0.000338658
         523            0.978312            0.957495          0.00034035
         524            0.978493            0.957535         0.000342051
