#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
         302              1.2286             1.16881           0.0204185
         303             1.22955             1.16901           0.0203521
         304             1.23043             1.16921           0.0202862
         305             1.23125             1.16941           0.0202207
         306             1.23202             1.16962           0.0201557
         307             1.23274             1.16982           0.0200911
         308             1.23344             1.17003           0.0200269
         309             1.23412             1.17024           0.0199631
         310              1.2348             1.17045           0.0198998
         311             1.23548             1.17065            0.019837
         312             1.23617             1.17086           0.0197745
         313             1.23688             1.17108           0.0197124
         314             1.23763             1.17129           0.0196508
         315             1.23842              1.1715           0.0195896
         316             1.23925             1.17172           0.0195287
         317             1.24014             1.17193           0.0194683
         318             1.24109             1.17215           0.0194083
         319             1.24209             1.17237           0.0193487
         320             1.24317             1.17259           0.0192895
         321             1.24431             1.17281           0.0192307
         322             1.24553             1.17304           0.0191723
         323             1.24681             1.17327           0.0191143
         324             1.24818              1.1735           0.0190567
         325             1.24961             1.17373           0.0189995
         326             1.25112             1.17397           0.0189427
         327             1.25269             1.17421           0.0188863
         328             1.25432             1.17445           0.0188303
         329             1.25601              1.1747           0.0187747
         330             1.25775             1.17495           0.0187195
         331             1.25954             1.17521           0.0186647
         332             1.26136             1.17547           0.0186103
         333              1.2632             1.17573           0.0185563
         334             1.26506               1.176           0.0185027
         335             1.26691             1.17627           0.0184494
         336             1.26876             1.17655           0.0183966
         337             1.27058             1.17683           0.0183441
         338             1.27236             1.17711            0.018292
         339              1.2741             1.17739           0.0182403
         340             1.27578             1.17768           0.0181889
         341             1.27737             1.17798           0.0181379
         342             1.27888             1.17827           0.0180873
         343             1.28029             1.17857            0.018037
         344             1.28159             1.17887           0.0179871
         345             1.28278             1.17917           0.0179374
         346             1.28383             1.17947           0.0178881
         347             1.28475             1.17978           0.0178392
         348             1.28552             1.18008           0.0177905
         349             1.28615             1.18038           0.0177421
         350             1.28662             1.18069            0.017694
         351             1.28693             1.18099           0.0176462
         352             1.28708             1.18129           0.0175986
         353             1.28706             1.18159           0.0175513
         354             1.28688             1.18189           0.0175043
         355             1.28653             1.18218           0.0174574
         356             1.28601             1.18247           0.0174108
         357             1.28533             1.18276           0.0173645
         358             1.28448             1.18305           0.0173183
         359             1.28348             1.18333           0.0172723
         360             1.28231              1.1836           0.0172265
         361               1.281             1.18387           0.0171809
         362             1.27953             1.18413           0.0171355
         363             1.27792             1.18439           0.0170902
         364             1.27618             1.18465           0.0170451
         365              1.2743             1.18489           0.0170002
         366             1.27229             1.18513           0.0169554
         367             1.27016             1.18536           0.0169108
         368             1.26791             1.18559           0.0168663
         369             1.26556              1.1858            0.016822
         370              1.2631             1.18601           0.0167779
         371             1.26055             1.18621           0.0167338
         372             1.25792             1.18641             0.01669
         373              1.2552             1.18659           0.0166462
         374             1.25242             1.18677           0.0166027
         375             1.24957             1.18693           0.0165592
         376             1.24669             1.18709            0.016516
         377             1.24377             1.18724           0.0164728
         378             1.24084             1.18738           0.0164299
         379             1.23791             1.18752           0.0163871
         380             1.23499             1.18764           0.0163444
         381             1.23209             1.18776           0.0163019
         382             1.22924             1.18787           0.0162596
         383             1.22644             1.18797           0.0162175
         384             1.22371             1.18806           0.0161755
         385             1.22106             1.18815           0.0161337
         386             1.21852             1.18823           0.0160921
         387             1.21609              1.1883           0.0160507
         388             1.21378             1.18836           0.0160095
         389             1.21163             1.18842           0.0159684
         390             1.20962             1.18848           0.0159276
         391             1.20777             1.18853           0.0158869
         392             1.20608             1.18857           0.0158464
         393             1.20458             1.18861           0.0158062
         394             1.20325             1.18865           0.0157661
         395             1.20211             1.18868           0.0157262
         396             1.20115             1.18872           0.0156865
         397             1.20037             1.18874            0.015647
         398             1.19976             1.18877           0.0156078
         399             1.19933              1.1888           0.0155687
         400             1.19907             1.18882           0.0155298
         401             1.19898             1.18885           0.0154911
         402             1.19903             1.18888           0.0154525
         403             1.19924              1.1889           0.0154142
         404             1.19958             1.18893           0.0153761
         405             1.20005             1.18895           0.0153381
         406             1.20065             1.18898           0.0153004
         407             1.20136             1.18901           0.0152628
         408             1.20219             1.18905           0.0152255
         409             1.20311             1.18908           0.0151883
         410             1.20413             1.18912           0.0151513
         411             1.20525             1.18916           0.0151145
         412             1.20645              1.1892           0.0150778
         413             1.20773             1.18924           0.0150414
         414             1.20909             1.18929           0.0150051
         415             1.21053             1.18934           0.0149691
         416             1.21203              1.1894           0.0149332
         417              1.2136             1.18946           0.0148975
         418             1.21523             1.18952            0.014862
         419             1.21691             1.18958           0.0148266
         420             1.21863             1.18965           0.0147915
         421              1.2204             1.18972           0.0147565
         422              1.2222              1.1898           0.0147218
         423             1.22402             1.18988           0.0146872
         424             1.22585             1.18997           0.0146528
         425             1.22769             1.19006           0.0146186
         426             1.22952             1.19015           0.0145846
         427             1.23134             1.19024           0.0145507
         428             1.23312             1.19035           0.0145171
         429             1.23487             1.19045           0.0144836
         430             1.23656             1.19056           0.0144503
         431             1.23818             1.19067           0.0144172
         432             1.23972             1.19078           0.0143843
         433             1.24115              1.1909           0.0143515
         434             1.24247             1.19102            0.014319
         435             1.24366             1.19114           0.0142866
         436              1.2447             1.19126           0.0142543
         437             1.24558             1.19138           0.0142223
         438             1.24629             1.19151           0.0141903
         439              1.2468             1.19163           0.0141586
         440             1.24712             1.19176            0.014127
         441             1.24722             1.19189           0.0140955
         442             1.24709             1.19201           0.0140641
         443             1.24674             1.19214           0.0140329
         444             1.24615             1.19226           0.0140019
         445             1.24532             1.19238           0.0139709
         446             1.24425             1.19249           0.0139401
         447             1.24295             1.19261           0.0139093
         448              1.2414             1.19271           0.0138787
         449             1.23962             1.19282           0.0138482
         450             1.23761             1.19292           0.0138178
         451             1.23539             1.19301           0.0137875
         452             1.23298              1.1931           0.0137572
         453             1.23038             1.19318           0.0137271
         454             1.22762             1.19326           0.0136971
         455             1.22471             1.19333           0.0136672
         456             1.22168             1.19339           0.0136373
         457             1.21856             1.19345           0.0136076
         458             1.21536             1.19349            0.013578
         459             1.21212             1.19353           0.0135485
         460             1.20886             1.19357            0.013519
         461             1.20561             1.19359           0.0134897
         462              1.2024             1.19361           0.0134606
         463             1.19926             1.19362           0.0134315
         464             1.19622             1.19363           0.0134025
         465             1.19331             1.19363           0.0133737
         466             1.19055             1.19362            0.013345
         467             1.18796             1.19361           0.0133165
         468             1.18558             1.19359            0.013288
         469             1.18341             1.19357           0.0132597
         470             1.18148             1.19355           0.0132315
         471              1.1798             1.19352           0.0132034
         472             1.17839             1.19348           0.0131755
         473             1.17725             1.19345           0.0131477
         474              1.1764             1.19341             0.01312
         475             1.17583             1.19338           0.0130924
         476             1.17555             1.19334            0.013065
         477             1.17555              1.1933           0.0130377
         478             1.17582             1.19327           0.0130104
         479             1.17635             1.19323           0.0129833
         480             1.17714              1.1932           0.0129563
         481             1.17815             1.19317           0.0129294
         482             1.17938             1.19314           0.0129026
         483             1.18081             1.19311           0.0128759
         484              1.1824             1.19309           0.0128493
         485             1.18414             1.19307           0.0128229
         486               1.186             1.19306           0.0127965
         487             1.18796             1.19305           0.0127702
         488             1.18997             1.19304           0.0127441
         489             1.19202             1.19304            0.012718
         490             1.19406             1.19304            0.012692
         491             1.19607             1.19305           0.0126662
         492             1.19801             1.19306           0.0126404
         493             1.19986             1.19307           0.0126148
         494             1.20159             1.19309           0.0125893
         495             1.20315             1.19311           0.0125639
         496             1.20453             1.19313           0.0125386
         497              1.2057             1.19316           0.0125134
         498             1.20664             1.19318           0.0124883
         499             1.20732             1.19321           0.0124633
         500             1.20772             1.19324           0.0124384
         501             1.20782             1.19327           0.0124136
         502             1.20762              1.1933           0.0123889
         503             1.20709             1.19333           0.0123643
         504             1.20625             1.19335           0.0123398
         505             1.20507             1.19337           0.0123154
         506             1.20356             1.19339            0.012291
         507             1.20172             1.19341           0.0122668
         508             1.19957             1.19342           0.0122427
         509             1.19711             1.19343           0.0122186
         510             1.19436             1.19343           0.0121947
         511             1.19134             1.19343           0.0121708
         512             1.18807             1.19342            0.012147
         513             1.18458              1.1934           0.0121234
         514             1.18089             1.19338           0.0120998
         515             1.17705             1.19334           0.0120764
         516             1.17308              1.1933            0.012053
         517             1.16904             1.19326           0.0120298
         518             1.16495              1.1932           0.0120067
         519             1.16087             1.19314           0.0119837
         520             1.15683             1.19307           0.0119609
         521             1.15288             1.19299           0.0119382
         522             1.14907             1.19291           0.0119156
         523             1.14544             1.19282           0.0118932
         524             1.14204             1.19272           0.0118709
         525             1.13891             1.19262           0.0118487
         526             1.13608             1.19251           0.0118267
         527              1.1336              1.1924           0.0118047
         528              1.1315             1.19229           0.0117829
         529             1.12981             1.19217           0.0117613
         530             1.12856             1.19205           0.0117397
         531             1.12776             1.19193           0.0117182
         532             1.12743              1.1918           0.0116968
         533             1.12759             1.19168           0.0116755
         534             1.12822             1.19157           0.0116542
         535             1.12934             1.19145            0.011633
         536             1.13094             1.19134           0.0116119
         537             1.13301             1.19123           0.0115907
         538             1.13554             1.19112           0.0115697
         539             1.13849             1.19103           0.0115486
         540             1.14187             1.19094           0.0115276
         541             1.14563             1.19085           0.0115066
         542             1.14976             1.19078           0.0114856
         543             1.15421             1.19071           0.0114646
         544             1.15897             1.19065           0.0114437
         545             1.16399              1.1906           0.0114228
         546             1.16924             1.19056            0.011402
         547             1.17469             1.19053           0.0113812
         548              1.1803             1.19051           0.0113604
         549             1.18604             1.19051           0.0113397
         550             1.19187             1.19051           0.0113191
         551             1.19776             1.19052           0.0112986
         552             1.20367             1.19055           0.0112781
         553             1.20956             1.19058           0.0112578
         554             1.21541             1.19063           0.0112375
         555             1.22118             1.19068           0.0112174
         556             1.22684             1.19075           0.0111974
         557             1.23235             1.19082           0.0111776
         558             1.23768              1.1909           0.0111579
         559              1.2428               1.191           0.0111383
         560             1.24769              1.1911           0.0111189
         561             1.25233             1.19121           0.0110996
         562             1.25668             1.19132           0.0110804
         563             1.26071             1.19145           0.0110615
         564             1.26442             1.19158           0.0110426
         565             1.26777             1.19171           0.0110239
         566             1.27076             1.19185           0.0110053
         567             1.27337             1.19199           0.0109868
         568             1.27558             1.19214           0.0109685
         569             1.27739             1.19229           0.0109502
         570             1.27877             1.19244            0.010932
         571             1.27974              1.1926            0.010914
         572             1.28029             1.19275            0.010896
         573             1.28041              1.1929            0.010878
         574             1.28011             1.19305           0.0108601
         575              1.2794              1.1932           0.0108423
         576             1.27826             1.19335           0.0108245
         577             1.27671              1.1935           0.0108067
         578             1.27476             1.19364           0.0107889
         579             1.27241             1.19377           0.0107711
         580             1.26969              1.1939           0.0107533
         581             1.26661             1.19403           0.0107356
         582             1.26318             1.19415           0.0107178
         583             1.25943             1.19426              0.0107
         584             1.25537             1.19436           0.0106822
         585             1.25102             1.19446           0.0106643
         586              1.2464             1.19455           0.0106465
         587             1.24152             1.19463           0.0106287
         588             1.23642              1.1947           0.0106108
         589             1.23112             1.19476            0.010593
         590             1.22565             1.19482           0.0105752
         591             1.22003             1.19486           0.0105574
         592             1.21429             1.19489           0.0105396
         593             1.20846             1.19491           0.0105218
         594             1.20255             1.19493           0.0105041
         595             1.19661             1.19493           0.0104865
         596             1.19065             1.19492           0.0104689
         597             1.18472             1.19491           0.0104514
         598             1.17884             1.19488           0.0104339
         599             1.17303             1.19484           0.0104166
         600             1.16734              1.1948           0.0103993
         601             1.16178             1.19474           0.0103821
         602             1.15639             1.19468           0.0103651
         603             1.15119             1.19461           0.0103482
         604             1.14622             1.19453           0.0103313
         605              1.1415             1.19444           0.0103146
         606             1.13706             1.19434            0.010298
         607             1.13294             1.19424           0.0102816
         608             1.12915             1.19413           0.0102652
         609             1.12573             1.19402            0.010249
         610              1.1227             1.19391           0.0102328
         611             1.12008             1.19378           0.0102168
         612              1.1179             1.19366           0.0102009
         613             1.11619             1.19353            0.010185
         614             1.11495             1.19341           0.0101692
         615              1.1142             1.19328           0.0101535
         616             1.11396             1.19315           0.0101378
         617             1.11424             1.19302           0.0101222
