#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
         271             1.76768             1.91942           0.0290107
         272             1.76714             1.91886           0.0289095
         273             1.76654              1.9183            0.028809
         274             1.76589             1.91774           0.0287092
         275              1.7652             1.91719           0.0286101
         276             1.76445             1.91664           0.0285118
         277             1.76367             1.91608           0.0284142
         278             1.76285             1.91553           0.0283174
         279             1.76199             1.91498           0.0282212
         280             1.76109             1.91443           0.0281258
         281             1.76015             1.91388           0.0280311
         282             1.75917             1.91334            0.027937
         283             1.75814             1.91279           0.0278437
         284             1.75707             1.91224           0.0277511
         285             1.75594             1.91169           0.0276591
         286             1.75476             1.91114           0.0275678
         287             1.75352             1.91059           0.0274772
         288             1.75221             1.91004           0.0273873
         289             1.75084             1.90949           0.0272981
         290             1.74939             1.90894           0.0272096
         291             1.74785             1.90839           0.0271217
         292             1.74623             1.90783           0.0270345
         293             1.74451             1.90727            0.026948
         294             1.74269             1.90671           0.0268621
         295             1.74077             1.90615            0.026777
         296             1.73874             1.90559           0.0266925
         297              1.7366             1.90502           0.0266087
         298             1.73434             1.90444           0.0265255
         299             1.73197             1.90387           0.0264431
         300             1.72947             1.90329           0.0263613
         301             1.72686              1.9027           0.0262803
         302             1.72414             1.90211           0.0261999
         303              1.7213             1.90151           0.0261202
         304             1.71836             1.90091           0.0260413
         305             1.71531              1.9003            0.025963
         306             1.71217             1.89969           0.0258854
         307             1.70895             1.89906           0.0258085
         308             1.70565             1.89844           0.0257324
         309             1.70228              1.8978           0.0256569
         310             1.69885             1.89716           0.0255822
         311             1.69536             1.89651           0.0255082
         312             1.69184             1.89585           0.0254349
         313             1.68829             1.89519           0.0253622
         314             1.68472             1.89452           0.0252903
         315             1.68113             1.89384           0.0252191
         316             1.67752             1.89316           0.0251486
         317             1.67392             1.89247           0.0250788
         318             1.67031             1.89177           0.0250096
         319             1.66669             1.89106           0.0249412
         320             1.66308             1.89035           0.0248734
         321             1.65947             1.88963           0.0248063
         322             1.65585             1.88891           0.0247399
         323             1.65223             1.88817           0.0246742
         324             1.64861             1.88743           0.0246091
         325             1.64497             1.88669           0.0245447
         326             1.64131             1.88594           0.0244809
         327             1.63764             1.88518           0.0244178
         328             1.63395             1.88441           0.0243554
         329             1.63024             1.88364           0.0242936
         330             1.62651             1.88286           0.0242325
         331             1.62276             1.88207            0.024172
         332             1.61899             1.88128           0.0241122
         333             1.61521             1.88048            0.024053
         334             1.61143             1.87968           0.0239945
         335             1.60764             1.87886           0.0239366
         336             1.60388             1.87804           0.0238793
         337             1.60014             1.87722           0.0238227
         338             1.59646             1.87639           0.0237667
         339             1.59284             1.87555           0.0237113
         340              1.5893             1.87471           0.0236565
         341             1.58587             1.87386           0.0236023
         342             1.58257             1.87301           0.0235487
         343             1.57941             1.87216           0.0234956
         344             1.57642              1.8713            0.023443
         345             1.57362             1.87043           0.0233909
         346             1.57103             1.86957           0.0233393
         347             1.56867              1.8687           0.0232881
         348             1.56655             1.86783           0.0232374
         349             1.56471             1.86696            0.023187
         350             1.56314              1.8661            0.023137
         351             1.56186             1.86523           0.0230874
         352             1.56088             1.86437           0.0230379
         353              1.5602              1.8635           0.0229888
         354             1.55984             1.86265           0.0229399
         355             1.55979             1.86179           0.0228911
         356             1.56005             1.86094           0.0228425
         357             1.56062              1.8601            0.022794
         358              1.5615             1.85927           0.0227456
         359             1.56267             1.85844           0.0226972
         360             1.56414             1.85763           0.0226489
         361             1.56589             1.85682           0.0226005
         362             1.56789             1.85602           0.0225522
         363             1.57015             1.85523           0.0225038
         364             1.57264             1.85446           0.0224554
         365             1.57535             1.85369           0.0224069
         366             1.57825             1.85294           0.0223583
         367             1.58134              1.8522           0.0223096
         368             1.58458             1.85147           0.0222608
         369             1.58796             1.85076            0.022212
         370             1.59145             1.85006            0.022163
         371             1.59503             1.84937           0.0221139
         372             1.59869              1.8487           0.0220647
         373              1.6024             1.84803           0.0220154
         374             1.60614             1.84739           0.0219661
         375              1.6099             1.84675           0.0219166
         376             1.61365             1.84613           0.0218671
         377             1.61738             1.84553           0.0218175
         378             1.62108             1.84493           0.0217679
         379             1.62472             1.84435           0.0217182
         380              1.6283             1.84378           0.0216685
         381              1.6318             1.84323           0.0216188
         382             1.63521             1.84268            0.021569
         383             1.63853             1.84215           0.0215193
         384             1.64174             1.84163           0.0214696
         385             1.64483             1.84112           0.0214199
         386              1.6478             1.84062           0.0213703
         387             1.65063             1.84013           0.0213207
         388             1.65333             1.83964           0.0212712
         389             1.65589             1.83917           0.0212217
         390             1.65829             1.83871           0.0211724
         391             1.66054             1.83825           0.0211231
         392             1.66262              1.8378            0.021074
         393             1.66453             1.83736            0.021025
         394             1.66626             1.83693           0.0209761
         395             1.66779              1.8365           0.0209274
         396             1.66912             1.83608           0.0208788
         397             1.67024             1.83566           0.0208304
         398             1.67114             1.83525           0.0207821
         399             1.67181             1.83484           0.0207341
         400             1.67224             1.83443           0.0206862
         401             1.67242             1.83403           0.0206386
         402             1.67234             1.83362           0.0205912
         403             1.67201             1.83322            0.020544
         404             1.67141             1.83282            0.020497
         405             1.67054             1.83242           0.0204504
         406              1.6694             1.83202           0.0204039
         407             1.66801             1.83162           0.0203578
         408             1.66636             1.83121           0.0203119
         409             1.66448             1.83081           0.0202663
         410             1.66238             1.83039           0.0202211
         411             1.66008             1.82998           0.0201761
         412              1.6576             1.82956           0.0201315
         413             1.65499             1.82914           0.0200872
         414             1.65227             1.82871           0.0200432
         415             1.64947             1.82828           0.0199996
         416             1.64666             1.82784           0.0199562
         417             1.64385              1.8274           0.0199133
         418             1.64109             1.82696           0.0198706
         419             1.63843             1.82651           0.0198283
         420              1.6359             1.82605           0.0197863
         421             1.63353              1.8256           0.0197445
         422             1.63135             1.82514           0.0197031
         423             1.62939             1.82467            0.019662
         424             1.62766             1.82421           0.0196211
         425             1.62616             1.82374           0.0195805
         426             1.62491             1.82327           0.0195401
         427             1.62389             1.82281           0.0194999
         428             1.62308             1.82234           0.0194599
         429             1.62247             1.82188           0.0194201
         430             1.62203             1.82141           0.0193805
         431             1.62174             1.82095           0.0193411
         432             1.62155             1.82049           0.0193018
         433             1.62142             1.82003           0.0192627
         434             1.62134             1.81957           0.0192238
         435             1.62125             1.81911            0.019185
         436             1.62112             1.81866           0.0191464
         437             1.62093             1.81821           0.0191079
         438             1.62065             1.81775           0.0190696
         439             1.62025              1.8173           0.0190315
         440             1.61971             1.81686           0.0189935
         441             1.61903             1.81641           0.0189557
         442             1.61818             1.81596           0.0189181
         443             1.61718             1.81551           0.0188808
         444             1.61602             1.81506           0.0188436
         445              1.6147             1.81461           0.0188066
         446             1.61324             1.81416           0.0187699
         447             1.61163             1.81371           0.0187333
         448             1.60989             1.81325            0.018697
         449             1.60804             1.81279            0.018661
         450              1.6061             1.81233           0.0186252
         451             1.60407             1.81187           0.0185896
         452             1.60199             1.81141           0.0185543
         453             1.59987             1.81094           0.0185192
         454             1.59772             1.81047           0.0184844
         455             1.59555                1.81           0.0184498
         456              1.5934             1.80952           0.0184154
         457             1.59126             1.80905           0.0183813
         458             1.58916             1.80857           0.0183474
         459             1.58709             1.80808           0.0183138
         460             1.58508              1.8076           0.0182804
         461             1.58313             1.80711           0.0182473
         462             1.58124             1.80662           0.0182143
         463             1.57944             1.80613           0.0181816
         464             1.57771             1.80564           0.0181491
         465             1.57608             1.80515           0.0181167
         466             1.57455             1.80465           0.0180846
         467             1.57313             1.80416           0.0180527
         468             1.57182             1.80366           0.0180209
         469             1.57063             1.80316           0.0179894
         470             1.56959             1.80267           0.0179579
         471             1.56869             1.80217           0.0179267
         472             1.56794             1.80167           0.0178956
         473             1.56737             1.80118           0.0178646
         474             1.56697             1.80068           0.0178337
         475             1.56676             1.80019            0.017803
         476             1.56673              1.7997           0.0177723
         477             1.56691             1.79921           0.0177418
         478             1.56727             1.79873           0.0177113
         479             1.56783             1.79825           0.0176809
         480             1.56857             1.79777           0.0176505
         481             1.56948             1.79729           0.0176202
         482             1.57054             1.79682           0.0175899
         483             1.57174             1.79636           0.0175597
         484             1.57305             1.79589           0.0175295
         485             1.57445             1.79544           0.0174993
         486             1.57591             1.79499           0.0174691
         487             1.57739             1.79454           0.0174389
         488             1.57887              1.7941           0.0174088
         489             1.58032             1.79366           0.0173787
         490              1.5817             1.79323           0.0173486
         491             1.58299              1.7928           0.0173185
         492             1.58416             1.79238           0.0172885
         493             1.58517             1.79196           0.0172586
         494             1.58602             1.79154           0.0172287
         495             1.58667             1.79112           0.0171988
         496             1.58712             1.79071           0.0171691
         497             1.58733              1.7903           0.0171394
         498             1.58731              1.7899           0.0171098
         499             1.58704             1.78949           0.0170804
         500             1.58651             1.78908            0.017051
         501             1.58572             1.78868           0.0170218
         502             1.58466             1.78827           0.0169928
         503             1.58334             1.78786           0.0169639
         504             1.58174             1.78745           0.0169352
         505             1.57988             1.78704           0.0169066
         506             1.57776             1.78663           0.0168783
         507             1.57538             1.78621           0.0168501
         508             1.57276             1.78579           0.0168222
         509             1.56991             1.78537           0.0167945
         510             1.56683             1.78494            0.016767
         511             1.56355             1.78451           0.0167398
         512             1.56008             1.78407           0.0167128
         513             1.55645             1.78363           0.0166861
         514             1.55267             1.78318           0.0166597
         515             1.54878             1.78272           0.0166336
         516             1.54478             1.78226           0.0166078
         517             1.54072             1.78179           0.0165822
         518             1.53662             1.78132           0.0165569
         519              1.5325             1.78084            0.016532
         520             1.52839             1.78035           0.0165073
         521             1.52431             1.77986           0.0164829
         522             1.52028             1.77937           0.0164589
         523             1.51632             1.77886           0.0164351
         524             1.51245             1.77835           0.0164116
         525             1.50868             1.77784           0.0163884
         526             1.50501             1.77732           0.0163654
         527             1.50146              1.7768           0.0163427
         528             1.49802             1.77627           0.0163203
         529              1.4947             1.77574           0.0162981
         530              1.4915              1.7752           0.0162762
         531             1.48841             1.77466           0.0162545
         532             1.48543             1.77412            0.016233
         533             1.48256             1.77357           0.0162118
         534             1.47978             1.77302           0.0161908
         535             1.47711             1.77247           0.0161699
         536             1.47453             1.77191           0.0161493
         537             1.47206             1.77135           0.0161289
         538              1.4697             1.77079           0.0161087
         539             1.46744             1.77023           0.0160886
         540              1.4653             1.76967           0.0160687
         541              1.4633              1.7691            0.016049
         542             1.46143             1.76853           0.0160294
         543             1.45973             1.76796             0.01601
         544             1.45819             1.76739           0.0159907
         545             1.45685             1.76682           0.0159715
         546             1.45571             1.76625           0.0159524
         547             1.45479             1.76568           0.0159334
         548             1.45411             1.76512           0.0159145
         549             1.45368             1.76455           0.0158956
         550             1.45352             1.76398           0.0158767
         551             1.45363             1.76342           0.0158579
         552             1.45403             1.76286           0.0158391
         553             1.45472              1.7623           0.0158202
         554              1.4557             1.76175           0.0158014
         555             1.45698              1.7612           0.0157824
         556             1.45855             1.76066           0.0157634
         557             1.46041             1.76012           0.0157443
         558             1.46255             1.75958           0.0157252
         559             1.46498             1.75906           0.0157059
         560             1.46767             1.75854           0.0156864
         561             1.47063             1.75802           0.0156669
         562             1.47382             1.75752           0.0156471
         563             1.47726             1.75702           0.0156273
         564             1.48091             1.75653           0.0156072
         565             1.48476             1.75605            0.015587
         566             1.48881             1.75558           0.0155666
         567             1.49302             1.75511            0.015546
         568             1.49739             1.75466           0.0155253
         569             1.50191             1.75422           0.0155044
         570             1.50655             1.75378           0.0154833
         571             1.51131             1.75336            0.015462
         572             1.51616             1.75294           0.0154405
         573             1.52111             1.75254           0.0154188
         574             1.52612             1.75214            0.015397
         575              1.5312             1.75176            0.015375
         576             1.53634             1.75138           0.0153529
         577             1.54151             1.75102           0.0153306
         578             1.54673             1.75067           0.0153081
         579             1.55198             1.75032           0.0152856
         580             1.55725             1.74999           0.0152628
         581             1.56256             1.74967             0.01524
         582             1.56789             1.74936            0.015217
         583             1.57324             1.74905           0.0151939
         584             1.57863             1.74876           0.0151707
         585             1.58404             1.74848           0.0151473
         586             1.58948             1.74821           0.0151239
         587             1.59496             1.74795           0.0151004
         588             1.60048              1.7477           0.0150768
         589             1.60604             1.74746           0.0150531
         590             1.61164             1.74723           0.0150294
         591             1.61728             1.74701           0.0150056
         592             1.62297              1.7468           0.0149817
         593             1.62869              1.7466           0.0149577
         594             1.63443             1.74641           0.0149337
         595              1.6402             1.74623           0.0149097
         596             1.64598             1.74606           0.0148856
         597             1.65176              1.7459           0.0148615
         598             1.65752             1.74576           0.0148374
         599             1.66325             1.74562           0.0148133
         600             1.66892             1.74549           0.0147892
         601              1.6745             1.74537            0.014765
         602             1.67999             1.74526           0.0147409
         603             1.68535             1.74517           0.0147168
         604             1.69057             1.74507           0.0146927
         605             1.69561             1.74499           0.0146686
         606             1.70047             1.74492           0.0146446
         607             1.70511             1.74485           0.0146206
         608             1.70953              1.7448           0.0145967
         609              1.7137             1.74474           0.0145728
         610             1.71761              1.7447            0.014549
         611             1.72126             1.74466           0.0145252
         612             1.72462             1.74463           0.0145015
         613              1.7277              1.7446           0.0144779
         614             1.73049             1.74458           0.0144544
         615             1.73299             1.74456           0.0144309
         616             1.73521             1.74454           0.0144074
         617             1.73714             1.74453           0.0143841
