#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
         341             1.67623            0.323391            0.118687
         342             1.68626            0.327376            0.118407
         343             1.69495            0.331363            0.118129
         344             1.70273            0.335349            0.117853
         345             1.71026            0.339334            0.117579
         346             1.71746            0.343318            0.117306
         347             1.72405            0.347297            0.117036
         348               1.729            0.351267            0.116767
         349             1.73396            0.355229            0.116499
         350             1.73745            0.359178            0.116233
         351             1.73969            0.363111            0.115969
         352             1.74088            0.367025            0.115705
         353             1.74125            0.370918            0.115443
         354             1.74033            0.374787            0.115182
         355             1.73786            0.378626            0.114921
         356             1.73482            0.382436            0.114661
         357              1.7305            0.386212            0.114402
         358             1.72566            0.389953            0.114144
         359             1.71935            0.393656            0.113886
         360             1.71235            0.397319            0.113629
         361             1.70445             0.40094            0.113372
         362             1.69667             0.40452            0.113115
         363              1.6864            0.408051            0.112858
         364             1.67661            0.411536            0.112602
         365             1.66638            0.414974            0.112346
         366             1.65482            0.418362             0.11209
         367             1.64248            0.421697            0.111834
         368             1.62991             0.42498            0.111579
         369             1.61645            0.428209            0.111323
         370             1.60411            0.431387            0.111068
         371             1.59079            0.434512            0.110812
         372             1.57726            0.437584            0.110557
         373             1.56361            0.440603            0.110302
         374             1.54942            0.443568            0.110047
         375             1.53617            0.446481            0.109792
         376             1.52202            0.449342            0.109537
         377             1.50869            0.452152            0.109282
         378             1.49552            0.454912            0.109028
         379              1.4828            0.457624            0.108774
         380             1.46911            0.460286            0.108521
         381             1.45595            0.462899            0.108267
         382             1.44263            0.465464            0.108014
         383             1.43111            0.467985            0.107761
         384             1.41926            0.470463            0.107509
         385             1.40805            0.472898            0.107258
         386             1.39681            0.475291            0.107006
         387               1.387            0.477647            0.106756
         388             1.37647            0.479964            0.106506
         389             1.36767            0.482246            0.106257
         390             1.35893            0.484494            0.106008
         391             1.35076            0.486709             0.10576
         392             1.34247            0.488892            0.105513
         393             1.33505            0.491045            0.105266
         394             1.32853            0.493171             0.10502
         395             1.32199            0.495269            0.104776
         396             1.31664            0.497343            0.104531
         397             1.31181            0.499395            0.104288
         398             1.30872            0.501428            0.104046
         399             1.30572            0.503444            0.103805
         400               1.305            0.505448            0.103565
         401             1.30393            0.507439            0.103326
         402             1.30326            0.509419            0.103087
         403             1.30394            0.511391            0.102851
         404             1.30623            0.513358            0.102615
         405             1.30842            0.515321             0.10238
         406             1.31122            0.517281            0.102147
         407             1.31485            0.519241            0.101915
         408             1.31972            0.521203            0.101684
         409             1.32531            0.523169            0.101454
         410             1.33155            0.525141            0.101226
         411             1.33811            0.527119            0.100999
         412             1.34537            0.529105            0.100773
         413             1.35324              0.5311            0.100549
         414             1.36086            0.533104            0.100326
         415             1.36933            0.535119            0.100105
         416             1.37755            0.537145           0.0998844
         417             1.38445            0.539176           0.0996655
         418              1.3923            0.541217            0.099448
         419             1.39859            0.543264           0.0992317
         420             1.40443            0.545314           0.0990166
         421             1.41068             0.54737           0.0988027
         422             1.41632            0.549429             0.09859
         423             1.42059            0.551488           0.0983785
         424             1.42515            0.553549            0.098168
         425             1.42878            0.555608           0.0979586
         426             1.43176            0.557665           0.0977503
         427             1.43412            0.559717           0.0975429
         428             1.43593            0.561765           0.0973365
         429             1.43726            0.563805            0.097131
         430             1.43821            0.565839           0.0969264
         431             1.43864            0.567864           0.0967226
         432             1.43864             0.56988           0.0965197
         433             1.43905            0.571887           0.0963177
         434             1.43924            0.573885           0.0961165
         435             1.44028            0.575877           0.0959162
         436             1.44056             0.57786           0.0957167
         437             1.44138            0.579836           0.0955181
         438             1.44327            0.581808           0.0953203
         439             1.44508            0.583774           0.0951235
         440             1.44685            0.585736           0.0949275
         441             1.44957            0.587694           0.0947325
         442             1.45347            0.589653           0.0945384
         443             1.45665             0.59161           0.0943452
         444             1.46076            0.593568            0.094153
         445             1.46505            0.595526           0.0939618
         446             1.47023            0.597487           0.0937716
         447             1.47576            0.599452           0.0935824
         448             1.48233            0.601423           0.0933943
         449             1.48843            0.603399           0.0932072
         450             1.49474            0.605379           0.0930211
         451              1.5012            0.607366            0.092836
         452             1.50849            0.609359            0.092652
         453              1.5151            0.611359           0.0924691
         454             1.52123            0.613363           0.0922871
         455             1.52829            0.615374           0.0921062
         456             1.53477             0.61739           0.0919263
         457              1.5409            0.619411           0.0917473
         458             1.54712            0.621436           0.0915694
         459             1.55339            0.623467           0.0913924
         460             1.55922            0.625501           0.0912163
         461             1.56457            0.627538           0.0910412
         462              1.5699            0.629578            0.090867
         463             1.57496            0.631619           0.0906937
         464             1.57948            0.633662           0.0905212
         465             1.58368            0.635705           0.0903496
         466             1.58754            0.637748           0.0901788
         467             1.59079            0.639789           0.0900088
         468             1.59413            0.641828           0.0898396
         469             1.59729            0.643865           0.0896711
         470             1.59905            0.645897           0.0895034
         471             1.60081            0.647925           0.0893363
         472              1.6023            0.649947           0.0891699
         473             1.60328            0.651962           0.0890041
         474             1.60395            0.653971            0.088839
         475             1.60407            0.655971           0.0886745
         476              1.6034            0.657961           0.0885106
         477             1.60194             0.65994           0.0883471
         478             1.59946            0.661906           0.0881842
         479             1.59722            0.663858           0.0880217
         480             1.59403            0.665796           0.0878596
         481             1.59068            0.667719            0.087698
         482             1.58699            0.669626           0.0875368
         483             1.58304            0.671517            0.087376
         484             1.57939            0.673393           0.0872156
         485             1.57469            0.675252           0.0870556
         486             1.57023            0.677093           0.0868959
         487             1.56636            0.678919           0.0867367
         488             1.56245             0.68073           0.0865778
         489             1.55883            0.682525           0.0864194
         490             1.55656            0.684309           0.0862614
         491             1.55403             0.68608           0.0861039
         492              1.5518             0.68784           0.0859469
         493             1.54996            0.689589           0.0857903
         494              1.5488            0.691328           0.0856343
         495             1.54813            0.693059           0.0854788
         496             1.54921            0.694785           0.0853239
         497             1.55063            0.696507           0.0851696
         498              1.5517            0.698224           0.0850159
         499             1.55484            0.699941           0.0848628
         500             1.55888            0.701659           0.0847105
         501             1.56333            0.703379           0.0845589
         502             1.56916            0.705103            0.084408
         503             1.57614            0.706835            0.084258
         504               1.584            0.708575           0.0841088
         505             1.59249            0.710326           0.0839604
         506             1.60134            0.712087           0.0838129
         507             1.61076            0.713859           0.0836664
         508             1.62168            0.715646           0.0835208
         509             1.63308            0.717449           0.0833761
         510             1.64563            0.719269           0.0832325
         511             1.65856            0.721107           0.0830899
         512             1.67179            0.722964           0.0829484
         513             1.68477            0.724838           0.0828079
         514             1.69959            0.726735           0.0826685
         515             1.71425            0.728652           0.0825302
         516             1.72841             0.73059            0.082393
         517             1.74393             0.73255           0.0822569
         518             1.75902            0.734532            0.082122
         519             1.77314            0.736533           0.0819881
         520             1.78789            0.738555           0.0818554
         521             1.80273            0.740597           0.0817238
         522             1.81759             0.74266           0.0815932
         523             1.83146            0.744742           0.0814638
         524             1.84549            0.746843           0.0813354
         525             1.85918            0.748962           0.0812081
         526             1.87274            0.751098           0.0810818
         527              1.8864            0.753252           0.0809565
         528             1.89966            0.755424           0.0808323
         529             1.91132            0.757609           0.0807091
         530             1.92379            0.759809           0.0805868
         531             1.93562            0.762023           0.0804654
         532             1.94682             0.76425            0.080345
         533             1.95666            0.766487           0.0802254
         534             1.96659            0.768735           0.0801066
         535             1.97635            0.770992           0.0799887
         536             1.98617            0.773259           0.0798716
         537              1.9958            0.775536           0.0797553
         538               2.004            0.777819           0.0796397
         539             2.01193            0.780109           0.0795249
         540             2.01909            0.782403           0.0794107
         541             2.02541            0.784701           0.0792971
         542             2.03206            0.787002           0.0791842
         543             2.03753            0.789305           0.0790719
         544             2.04249            0.791609           0.0789601
         545             2.04642            0.793911           0.0788487
         546             2.04876             0.79621           0.0787378
         547             2.05092            0.798503           0.0786273
         548             2.05237            0.800791           0.0785171
         549             2.05186             0.80307           0.0784071
         550             2.05103            0.805339           0.0782974
         551             2.04988            0.807598           0.0781879
         552             2.04619            0.809842           0.0780784
         553             2.04238            0.812071            0.077969
         554             2.03748            0.814283           0.0778597
         555             2.03149            0.816476           0.0777502
         556             2.02418            0.818648           0.0776407
         557             2.01532            0.820796           0.0775311
         558             2.00518            0.822919           0.0774212
         559             1.99451            0.825015            0.077311
         560              1.9831            0.827083           0.0772006
         561             1.97149            0.829123             0.07709
         562             1.95898            0.831133            0.076979
         563             1.94538            0.833112           0.0768677
         564             1.93001            0.835057            0.076756
         565             1.91463            0.836968            0.076644
         566             1.89831            0.838843           0.0765315
         567             1.88134            0.840682           0.0764186
         568             1.86378            0.842483           0.0763053
         569             1.84495            0.844245           0.0761915
         570             1.82659            0.845968           0.0760773
         571             1.80682            0.847651           0.0759627
         572             1.78713            0.849293           0.0758476
         573             1.76708            0.850895           0.0757322
         574             1.74696            0.852456           0.0756163
         575             1.72704            0.853977           0.0755001
         576             1.70567            0.855456           0.0753835
         577             1.68529            0.856894           0.0752666
         578             1.66399             0.85829           0.0751493
         579             1.64203            0.859644           0.0750317
         580             1.61968            0.860954           0.0749138
         581             1.59766            0.862222           0.0747956
         582             1.57598            0.863449           0.0746771
         583             1.55394            0.864633           0.0745584
         584             1.53129            0.865774           0.0744395
         585             1.50947            0.866875           0.0743204
         586             1.48729            0.867934           0.0742011
         587             1.46426            0.868949           0.0740817
         588             1.44184            0.869924           0.0739621
         589             1.41882            0.870856           0.0738424
         590             1.39595            0.871746           0.0737226
         591             1.37347            0.872595           0.0736027
         592             1.34998            0.873401           0.0734828
         593             1.32717            0.874166           0.0733629
         594             1.30414             0.87489           0.0732429
         595             1.28067            0.875572            0.073123
         596             1.25803            0.876214           0.0730031
         597             1.23554            0.876816           0.0728833
         598             1.21376            0.877379           0.0727636
         599             1.19179            0.877904           0.0726441
         600             1.16995            0.878391           0.0725246
         601             1.14855             0.87884           0.0724053
         602             1.12767            0.879254           0.0722862
         603             1.10665            0.879631           0.0721673
         604             1.08751            0.879975           0.0720487
         605             1.06933            0.880288           0.0719303
         606             1.05196            0.880571           0.0718121
         607             1.03472            0.880825           0.0716943
         608             1.01887            0.881052           0.0715767
         609             1.00277            0.881252           0.0714595
         610            0.988621            0.881428           0.0713425
         611            0.976216            0.881583           0.0712259
         612            0.964367            0.881718           0.0711097
         613            0.953804            0.881836           0.0709938
         614            0.944532            0.881938           0.0708782
         615            0.935578            0.882025            0.070763
         616            0.927411            0.882099           0.0706482
         617            0.920485            0.882161           0.0705337
