#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
           9             2.15712             0.43097            0.363166            0.016055
           9             2.44473            0.320081            0.361449           0.0147026
           9             2.73235            0.368242            0.313465           0.0144537
           9             3.01996            0.328355            0.302906           0.0237448
           9             3.30758            0.275912             0.20631           0.0106489
           9             3.59519           0.0998955            0.140006           0.0107067
           9             3.88281           0.0737707           0.0822554          0.00903367
           9             4.17042           0.0871309           0.0509332          0.00676923
           9             4.45804           0.0192032           0.0362388          0.00731251
           9             4.74565           0.0160322            0.031349          0.00692012
           9             5.03327          0.00671228           0.0181337          0.00331745
           9             5.32088           0.0111871           0.0122263          0.00436273
           9              5.6085         0.000563381          0.00261838          0.00138458
           9             5.89612                   0          0.00303689          0.00181405
           9             6.18373                   0         0.000987258         0.000469694
           9             6.47135                   0         0.000279008         0.000263051
           9             6.75896                   0          0.00100157         0.000944286
           9             7.04658                   0                   0                   0
           9             7.33419                   0                   0                   0
           9             7.62181                   0                   0                   0
           9             7.90942                   0                   0                   0
           9             8.19704                   0                   0                   0
           9             8.48465                   0                   0                   0


          10            0.143808          0.00263984          0.00841047          0.00196249
          10            0.431423           0.0456178             0.04805          0.00504864
          10            0.719038            0.121207            0.144475          0.00977024
          10             1.00665            0.194576            0.189008           0.0131447
          10             1.29427            0.376773            0.333628           0.0163756
          10             1.58188            0.308346            0.411906           0.0233197
          10              1.8695            0.348121            0.399704           0.0140374
          10             2.15712            0.391421            0.365992            0.014696
          10             2.44473            0.409337            0.366238           0.0139905
          10             2.73235            0.440065            0.326125           0.0177049
          10             3.01996            0.272532            0.299868           0.0215637
          10             3.30758            0.218061            0.207485          0.00964866
          10             3.59519            0.126294            0.138635          0.00972349
          10             3.88281           0.0949538           0.0835253          0.00821907
          10             4.17042           0.0659961           0.0524395          0.00625765
          10             4.45804           0.0103662           0.0336515          0.00702406
          10             4.74565            0.016499            0.029864          0.00638546
          10             5.03327           0.0306318           0.0193835          0.00321251
          10             5.32088          0.00342858           0.0113465          0.00401418
          10              5.6085                   0          0.00235654          0.00127064
          10             5.89612                   0           0.0027332          0.00165787
          10             6.18373                   0         0.000888532         0.000432976
          10             6.47135                   0         0.000251107         0.000238221
          10             6.75896                   0          0.00090141         0.000855152
          10             7.04658                   0                   0                   0
          10             7.33419                   0                   0                   0
          10             7.62181                   0                   0                   0
          10             7.90942                   0                   0                   0
          10             8.19704                   0                   0                   0
          10             8.48465                   0                   0                   0


          11            0.143808          0.00808049          0.00838047          0.00178431
          11            0.431423           0.0174326           0.0452666          0.00530171
          11            0.719038            0.131509            0.143296          0.00895286
          11             1.00665             0.14305             0.18483           0.0125962
          11             1.29427            0.349731            0.335092           0.0149522
          11             1.58188            0.436314            0.414125            0.021305
          11              1.8695            0.389956            0.398818           0.0127892
          11             2.15712            0.335131            0.363186           0.0136251
          11             2.44473             0.35559             0.36527           0.0127521
          11             2.73235              0.4485             0.33725           0.0192762
          11             3.01996            0.222906            0.292872           0.0207074
          11             3.30758            0.268153               0.213            0.010227
          11             3.59519            0.155831            0.140198          0.00896432
          11             3.88281           0.0863904           0.0837857          0.00747601
          11             4.17042           0.0659961           0.0536719          0.00580887
          11             4.45804           0.0206519           0.0324698          0.00648417
          11             4.74565           0.0104145           0.0280959           0.0060448
          11             5.03327           0.0305674           0.0204002          0.00307715
          11             5.32088         0.000659961            0.010375          0.00376498
          11              5.6085                   0          0.00214231          0.00117305
          11             5.89612                   0          0.00248473          0.00152566
          11             6.18373                   0         0.000807757         0.000401079
          11             6.47135                   0         0.000228279         0.000217656
          11             6.75896                   0         0.000819463         0.000781328
          11             7.04658                   0                   0                   0
          11             7.33419                   0                   0                   0
          11             7.62181                   0                   0                   0
          11             7.90942                   0                   0                   0
          11             8.19704                   0                   0                   0
          11             8.48465                   0                   0                   0


          12            0.143808          0.00289739          0.00792355          0.00169311
          12            0.431423           0.0623582           0.0466909          0.00504759
          12            0.719038            0.163606            0.144989          0.00836523
          12             1.00665            0.170785             0.18366           0.0116008
          12             1.29427            0.256805            0.328568           0.0150623
          12             1.58188            0.438938            0.416192           0.0196297
          12              1.8695            0.382568            0.397464           0.0117949
          12             2.15712            0.406326            0.366781           0.0129553
          12             2.44473            0.321916            0.361657           0.0121905
          12             2.73235            0.447743            0.346458            0.019747
          12             3.01996            0.269103            0.290891           0.0190763
          12             3.30758            0.148604            0.207634           0.0106904
          12             3.59519            0.178415            0.143383          0.00876476
          12             3.88281           0.0921369           0.0844817          0.00688532
          12             4.17042           0.0751067           0.0554581          0.00559269
          12             4.45804           0.0220362           0.0316003          0.00600183
          12             4.74565           0.0105916           0.0266372          0.00571436
          12             5.03327           0.0259477           0.0208625          0.00285524
          12             5.32088         0.000981893          0.00959223          0.00353166
          12              5.6085                   0          0.00196379           0.0010888
          12             5.89612                   0          0.00227767          0.00141251
          12             6.18373                   0         0.000740444         0.000373261
          12             6.47135                   0         0.000209256         0.000200347
          12             6.75896                   0         0.000751175         0.000719195
          12             7.04658                   0                   0                   0
          12             7.33419                   0                   0                   0
          12             7.62181                   0                   0                   0
          12             7.90942                   0                   0                   0
          12             8.19704                   0                   0                   0
          12             8.48465                   0                   0                   0


          13            0.143808          0.00682496          0.00783904          0.00156498
          13            0.431423            0.048821           0.0468547          0.00466198
          13            0.719038            0.158326            0.146015          0.00778441
          13             1.00665            0.161127            0.181926           0.0108371
          13             1.29427            0.299719            0.326349           0.0140662
          13             1.58188            0.435783            0.417699           0.0181775
          13              1.8695            0.397119            0.397437           0.0108876
          13             2.15712            0.401433            0.369447           0.0122299
          13             2.44473            0.336693            0.359737            0.011403
          13             2.73235            0.277763            0.341174           0.0189218
          13             3.01996            0.378978            0.297667           0.0187737
          13             3.30758            0.155654            0.203636           0.0105895
