# GENERATION:    START CITY:        CITY 2:        CITY 3:        CITY 4:        CITY 5:        CITY 6:        CITY 7:        CITY 8:        CITY 9:       CITY 10:       CITY 11:       CITY 12:       CITY 13:       CITY 14:       CITY 15:       CITY 16:       CITY 17:       CITY 18:       CITY 19:       CITY 20:       CITY 21:       CITY 22:       CITY 23:       CITY 24:       CITY 25:       CITY 26:       CITY 27:       CITY 28:       CITY 29:       CITY 30:       CITY 31:       CITY 32:       CITY 33:       CITY 34:     LAST CITY:
           56              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             12             33             10             19             30              4             22             13              3             17              8              5             32             31             25             26              1
           57              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             12             33             10             19             30              4             22             13              3             17              8              5             32             31             25             26              1
           58              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             12             33             10             19             30              4             22             13              3             17              8              5             32             31             25             26              1
           59              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21             22              4             30             19             10             33              2             13              3             12             26             31             32              5             17              8             25              1
           60              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21             22              4             30             19             10             33              2             13              3             12             26             31             32              5             17              8             25              1
           61              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21             22              4             30             19             10             33              2             13              3             12             26             31             32              5             17              8             25              1
           62              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21             33             10             19             30              4             22              2             13              3             12             26             31             32              5             17              8             25              1
           63              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21             33             10             19             30              4             22              2             13              3             12             26             31             32              5             17              8             25              1
           64              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21             33             10             19             30              4             22              2             13              3             12             26             31             32              5             17              8             25              1
           65              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             12             33             10             19             30              4             22             13              3              8             17              5             32             31             25             26              1
           66              1              6             23              7             20              9             11             34             16             24             18             28             27             29             15             14             21              2             12             33             10             19             30              4             22             13              3              8             17              5             32             31             25             26              1
