#                 X:                  Y:                  Z:
           -0.602459                   0                   0
            -1.34833                   0                   0
            -1.34833                   0                   0
            -1.34833                   0                   0
            -1.34833                   0                   0
            -1.34833                   0                   0
            -1.34833                   0                   0
            -1.34833                   0                   0
            -1.34833                   0                   0
            -1.34833                   0                   0
            -1.34833                   0                   0
           -0.376178                   0                   0
           -0.376178                   0                   0
             0.68559                   0                   0
             0.68559                   0                   0
             0.68559                   0                   0
             0.68559                   0                   0
             0.68559                   0                   0
             0.68559                   0                   0
             0.68559                   0                   0
           -0.671353                   0                   0
           -0.671353                   0                   0
           -0.671353                   0                   0
           -0.671353                   0                   0
           -0.671353                   0                   0
            0.663148                   0                   0
            0.663148                   0                   0
            0.663148                   0                   0
            0.663148                   0                   0
            0.663148                   0                   0
           -0.835085                   0                   0
           -0.835085                   0                   0
            0.186123                   0                   0
           -0.912622                   0                   0
           -0.912622                   0                   0
             -0.7703                   0                   0
             -0.7703                   0                   0
            -1.22548                   0                   0
             1.39872                   0                   0
             1.39872                   0                   0
             1.39872                   0                   0
             1.39872                   0                   0
           -0.937887                   0                   0
           -0.937887                   0                   0
            -1.11391                   0                   0
            -1.11391                   0                   0
           0.0802102                   0                   0
           -0.773798                   0                   0
           -0.773798                   0                   0
           -0.283797                   0                   0
           -0.283797                   0                   0
           -0.426301                   0                   0
            0.986024                   0                   0
            0.986024                   0                   0
            0.986024                   0                   0
            0.986024                   0                   0
            0.986024                   0                   0
            0.986024                   0                   0
            0.986024                   0                   0
            0.350236                   0                   0
            0.350236                   0                   0
            -0.95906                   0                   0
            -0.95906                   0                   0
            -0.95906                   0                   0
            -0.95906                   0                   0
            -0.95906                   0                   0
            -0.95906                   0                   0
           -0.628314                   0                   0
            0.369564                   0                   0
            0.369564                   0                   0
            0.971992                   0                   0
            0.971992                   0                   0
            0.971992                   0                   0
           0.0688939                   0                   0
           0.0688939                   0                   0
             0.46181                   0                   0
             0.46181                   0                   0
             0.46181                   0                   0
             0.46181                   0                   0
            0.473886                   0                   0
            0.473886                   0                   0
           -0.299834                   0                   0
           -0.299834                   0                   0
           -0.299834                   0                   0
            0.778596                   0                   0
            0.778596                   0                   0
            0.778596                   0                   0
            0.413131                   0                   0
           -0.876808                   0                   0
            0.386667                   0                   0
            -1.33119                   0                   0
            0.341445                   0                   0
             1.06341                   0                   0
             1.06341                   0                   0
             1.06341                   0                   0
            -0.42626                   0                   0
           -0.599662                   0                   0
             1.33999                   0                   0
             1.33999                   0                   0
           -0.621465                   0                   0
          -0.0214174                   0                   0
            -0.50361                   0                   0
            -0.50361                   0                   0
            -0.50361                   0                   0
            -0.50361                   0                   0
            -0.50361                   0                   0
            -0.50361                   0                   0
            -0.50361                   0                   0
           -0.491342                   0                   0
           -0.491342                   0                   0
           -0.491342                   0                   0
           -0.491342                   0                   0
           -0.491342                   0                   0
           -0.491342                   0                   0
           -0.346671                   0                   0
