#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         235          -0.0189061           -0.497605           0.0258076
         236          -0.0189061           -0.495577           0.0257779
         237          -0.0189061           -0.493565           0.0257475
         238          -0.0189061           -0.491571           0.0257164
         239          -0.0189061           -0.489593           0.0256847
         240           -0.494338           -0.489613           0.0255777
         241           -0.494338           -0.489633           0.0254716
         242          -0.0576734           -0.487848           0.0254288
         243          -0.0576734           -0.486077           0.0253857
         244          -0.0576734           -0.484322           0.0253423
         245         0.000724531           -0.482342           0.0253161
         246         0.000724531           -0.480378           0.0252892
         247            -1.05533           -0.482706           0.0252937
         248            -1.05533           -0.485015           0.0252969
         249            -1.05533           -0.487305           0.0252988
         250            -1.05533           -0.489578           0.0252994
         251             -0.1095           -0.488063           0.0252439
         252           -0.777939           -0.489214           0.0251699
         253            -1.10511           -0.491648           0.0251879
         254           -0.047962           -0.489901           0.0251492
         255           -0.047962           -0.488168           0.0251102
         256           -0.047962           -0.486449            0.025071
         257            -0.21049           -0.485375           0.0249964
         258           -0.156271           -0.484099            0.024932
         259            -0.14547           -0.482792             0.02487
         260           -0.166143           -0.481574           0.0248042
         261           -0.985079           -0.483503            0.024784
         262           -0.942169           -0.485254           0.0247512
         263            -1.07679           -0.487503           0.0247591
         264          -0.0193044           -0.485729           0.0247287
         265          -0.0800492           -0.484198           0.0246828
         266          -0.0800492           -0.482679           0.0246367
         267           -0.194631             -0.4816            0.024568
         268            -1.03276           -0.483657           0.0245623
         269            -1.03276           -0.485698           0.0245556
         270            -1.03276           -0.487724           0.0245481
         271          -0.0488235           -0.486105           0.0245109
         272          -0.0488235           -0.484497           0.0244735
         273          -0.0488235           -0.482901           0.0244358
         274          -0.0488235           -0.481317           0.0243979
         275          0.00208725           -0.479559           0.0243724
         276            -1.08012           -0.481735           0.0243811
         277         -0.00156108           -0.480002           0.0243546
         278          -0.0100938           -0.478311           0.0243256
         279          -0.0100938           -0.476633           0.0242962
         280          -0.0100938           -0.474967           0.0242665
         281            -0.16717           -0.473871           0.0242049
         282            -0.27245           -0.473157           0.0241296
         283            -0.27245           -0.472448           0.0240547
         284            -0.27245           -0.471744           0.0239803
         285            -0.04339           -0.470241           0.0239432
         286           -0.456448           -0.470193           0.0238596
         287           -0.456448           -0.470145           0.0237765
         288           -0.456448           -0.470097            0.023694
         289           -0.417431           -0.469915           0.0236127
         290          -0.0970234           -0.468629           0.0235663
         291           -0.663237           -0.469298           0.0234948
         292          -0.0121299           -0.467732           0.0234664
         293           -0.429561           -0.467602           0.0233867
         294           -0.991846           -0.469385            0.023375
         295         0.000870887           -0.467791           0.0233501
