#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
            0.071686            0.907937            0.584989           -0.437937           0.0213965                0.62            0.504794
            0.071488            0.867401            0.585057           -0.412904           0.0202189                0.92             1.35727
             0.07129             1.04128            0.585346           -0.412458           0.0201364                0.72              -1.252
            0.071092            0.908873            0.585271           -0.381541           0.0187146                   1             1.13375
            0.070894             1.03435            0.585752           -0.391086           0.0191203                 0.9            -1.08324
            0.070696            0.510545            0.584595           -0.231156            0.011854                0.96           -0.412976
            0.070498            0.785088            0.582008           -0.444181           0.0216649                0.92             0.61091
              0.0703            0.659312            0.582856           -0.447158           0.0218586                0.54            0.801812
            0.070102            0.901718            0.583383           -0.382149           0.0187097                0.82             1.56125
            0.069904            0.700945            0.585274           -0.399996           0.0195625                0.78             1.38248
            0.069706            0.623248            0.588755           -0.400309            0.019577                0.74            0.936338
            0.069508            0.836768            0.582839           -0.440124           0.0215034                0.78            -1.22399
             0.06931            0.943105            0.581649           -0.428807           0.0209564                 0.8            -1.39104
            0.069112            0.699328            0.575582           -0.404375           0.0197389                0.78            0.716973
            0.068914            0.877736            0.578101           -0.406859           0.0199418                 0.7           -0.914381
            0.068716            0.733586            0.578036           -0.430005           0.0210034                0.74           -0.567079
            0.068518             1.02777            0.578899           -0.415239            0.020274                0.52             1.27819
             0.06832            0.956139            0.578562           -0.336533           0.0166103                0.84            -1.00382
            0.068122              0.8037            0.582543           -0.437577            0.021344                0.84           -0.118572
            0.067924            0.780814            0.576042           -0.423231           0.0206714                 0.6           -0.704188
            0.067726            0.676996            0.575325           -0.430353           0.0210198                0.72           -0.671548
            0.067528            0.944463            0.571066           -0.370479           0.0181642                0.78            0.809887
             0.06733             0.98491            0.567783           -0.355518           0.0174118                0.82            -1.56586
            0.067132            0.857788             0.57159           -0.413984           0.0202589                0.96             2.27992
            0.066934             1.05783            0.576625           -0.413905           0.0202261                 0.7            0.748697
            0.066736            0.877192            0.568918           -0.399967           0.0195957                0.78            -1.03211
            0.066538            0.889354            0.568973           -0.402029           0.0196782                 0.6            -1.22415
             0.06634             1.00662            0.569219           -0.397478           0.0194492                0.74             1.23625
            0.066142            0.482859            0.570959           -0.129007          0.00651685                0.78             -1.2457
            0.065944            0.423545            0.566021            -0.10442          0.00599964                0.76          -0.0391628
            0.065746            0.519991            0.571706           -0.168278          0.00856591                0.94             1.71615
            0.065548              1.0384            0.567292           -0.175085          0.00894703                0.96           -0.901948
             0.06535            0.641336            0.566661           -0.337664           0.0165671                0.96            0.486627
            0.065152            0.705406            0.566523           -0.399192           0.0195123                0.94            0.385542
            0.064954            0.736098            0.571493           -0.414774           0.0202669                0.72             1.22113
            0.064756            0.781845            0.571728            -0.41019            0.020045                0.76            -1.73297
            0.064558            0.751341            0.574172           -0.430408           0.0210137                 0.7            0.348064
             0.06436            0.623816            0.571854            -0.41862            0.020429                0.76           -0.710265
            0.064162            0.669856            0.569729           -0.373812           0.0182958                 0.9           -0.700796
            0.063964            0.916886            0.570771           -0.374715           0.0183875                0.78            0.702102
            0.063766             0.93186            0.568005            -0.35495           0.0173457                0.92              1.1411
            0.063568            0.778756            0.562554           -0.431395           0.0211388                0.84            0.870327
             0.06337            0.893977            0.562364           -0.381673           0.0186911                0.44             1.25242
            0.063172            0.852458            0.564351           -0.410227           0.0200575                0.76            0.104943
            0.062974            0.673567            0.566177           -0.389364            0.019063                0.76            0.375894
            0.062776            0.984182            0.571941           -0.375819            0.018507                0.86             1.44914
            0.062578            0.956099            0.569513           -0.324421           0.0159161                0.84            0.711446
             0.06238            0.804936            0.567512           -0.427629           0.0208882                 0.9             1.39959
            0.062182             0.78476             0.56608           -0.421611           0.0205976                 0.6            0.181673
            0.061984            0.597459            0.576909           -0.411037            0.020067                0.88         -0.00844052
            0.061786            0.936175             0.57839            -0.35949           0.0175905                0.76             -1.0072
            0.061588            0.713874            0.577281           -0.416942           0.0203757                0.84            -0.75591
             0.06139            0.922231            0.575514           -0.370086            0.018099                 0.8           -0.737194
            0.061192            0.825317            0.574558           -0.423531           0.0206888                0.94            0.720437
            0.060994            0.789149            0.572182           -0.433217           0.0212084                 0.7            0.831295
            0.060796            0.950471            0.575162           -0.432804           0.0211138                0.54             -1.8454
            0.060598            0.841183            0.582958           -0.433306           0.0211465                0.94             1.47794
              0.0604            0.720947            0.588277           -0.415372           0.0203004                0.88           -0.602837
            0.060202            0.739728             0.58839           -0.412631           0.0201362                 0.8            0.471667
            0.060004            0.725499            0.584047           -0.424629           0.0207725                0.68             -1.0696
            0.059806            0.819265            0.588877           -0.446343            0.021812                0.86            -1.53595
            0.059608             0.76191            0.591162           -0.441417           0.0215681                0.78           -0.224208
             0.05941            0.904071            0.594818           -0.389701           0.0190596                0.82             1.21674
            0.059212            0.875781            0.597091           -0.413566           0.0202096                0.66            -1.12566
            0.059014             0.60332            0.598739           -0.415992           0.0203505                 0.8            -1.19402
            0.058816            0.717449            0.598132           -0.418247           0.0204045                 0.7            -1.14838
            0.058618            0.763443            0.597643           -0.434801           0.0212309                0.66           0.0262334
             0.05842            0.755352            0.596713           -0.434311           0.0212178                0.72            -1.55148
            0.058222            0.700925            0.594328           -0.411816           0.0200997                 0.6           -0.452376
            0.058024            0.791845            0.597073           -0.438862           0.0214078                0.86           -0.772311
            0.057826            0.824943            0.594282            -0.43306           0.0211298                0.54            0.370591
            0.057628            0.661965            0.594666           -0.446492           0.0217797                0.68           -0.571934
             0.05743            0.817656            0.593345           -0.432924            0.021133                0.94           -0.966016
            0.057232            0.979089            0.588671           -0.448605           0.0218862                0.68           -0.256306
            0.057034            0.536388             0.58588           -0.316589           0.0155423                0.66           -0.584171
            0.056836            0.896118            0.584835           -0.398449           0.0194674                0.92            -0.46839
            0.056638            0.977434            0.583961           -0.400761           0.0195812                0.78             1.20705
             0.05644            0.957946            0.574822           -0.327458           0.0160587                0.94             1.02362
            0.056242            0.724086            0.574613           -0.405813           0.0198282                0.78            -1.01171
            0.056044             0.83971            0.569383           -0.413663           0.0202165                0.88             -1.0563
            0.055846            0.933616            0.567771           -0.356652           0.0174801                0.74             1.37273
            0.055648            0.915976            0.571073            -0.38312           0.0187298                0.98              0.0697
             0.05545            0.899029            0.570445           -0.393946           0.0192803                0.54             1.09146
            0.055252            0.952779            0.568328           -0.350536           0.0171687                0.64            0.912757
            0.055054             0.87736            0.570781           -0.396163           0.0193676                0.82            -1.15729
            0.054856            0.944319              0.5719           -0.411051           0.0200971                0.56             -0.7951
            0.054658             0.62943            0.572396           -0.338753           0.0166196                0.62           0.0929393
             0.05446            0.834733            0.572387           -0.416987           0.0204287                0.98            -1.32608
            0.054262            0.781061            0.575676           -0.427054           0.0208558                0.64             0.99338
            0.054064            0.810196            0.575546           -0.440324           0.0215057                0.54            -1.20446
            0.053866            0.954244            0.578538           -0.436692           0.0213284                0.56            -1.57567
            0.053668            0.659711            0.581194           -0.363653           0.0177575                0.86           -0.131472
             0.05347            0.664951            0.581568           -0.376275           0.0184058                0.64            0.100458
            0.053272            0.784661            0.580937           -0.428974            0.020985                 0.9              0.9337
            0.053074            0.610605            0.577974           -0.439841           0.0215061                0.62            0.508228
            0.052876            0.778615            0.574748           -0.421118           0.0205804                0.88             1.23072
            0.052678            0.708158            0.575483           -0.397211           0.0194097                0.64           -0.224077
             0.05248            0.775807            0.578096           -0.452281           0.0220767                0.62            -1.80524
            0.052282             0.77553               0.574           -0.430936           0.0210397                0.66            -1.34282
            0.052084            0.558957            0.576228           -0.428737           0.0209378                 0.7           -0.523552
            0.051886            0.793026            0.576145           -0.425969           0.0207995                 0.8            0.065596
            0.051688            0.621039             0.57556            -0.33525           0.0164061                0.72            0.937514
             0.05149            0.688757            0.577171           -0.405273           0.0198288                 0.8             -1.0409
