#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         199           -0.165307           -0.517777           0.0259464
         200           -0.165307           -0.516014           0.0258765
         201           -0.165307           -0.514269           0.0258065
         202        -0.000855119           -0.511728           0.0258036
         203        -0.000855119           -0.509211           0.0257989
         204        -0.000855119           -0.506719           0.0257925
         205           -0.943096           -0.508848           0.0257544
         206           -0.691943           -0.509737           0.0256447
         207            -0.17246           -0.508107           0.0255725
         208            -0.17246           -0.506494           0.0255004
         209           -0.278331           -0.505402           0.0254018
         210            -1.04562           -0.507974           0.0254107
         211            -1.04562           -0.510522           0.0254177
         212           -0.140923           -0.508779           0.0253576
         213           -0.140923           -0.507052           0.0252973
         214           -0.140923           -0.505341           0.0252368
         215          -0.0540061           -0.503242           0.0252066
         216            -1.10482           -0.506027           0.0252433
         217            -1.10482           -0.508786           0.0252774
         218          0.00136575           -0.506446           0.0252695
         219           -0.149449           -0.504816           0.0252066
         220          -0.0729065           -0.502853           0.0251684
         221            -1.03034            -0.50524           0.0251674
         222            -1.03034           -0.507605            0.025165
         223            -1.03034           -0.509949           0.0251611
         224          -0.0260281           -0.507789           0.0251413
         225          -0.0260281           -0.505648           0.0251206
         226          -0.0260281           -0.503525           0.0250989
         227            -1.09819           -0.506145           0.0251247
         228           -0.763646           -0.507275           0.0250399
         229           -0.763646           -0.508394           0.0249555
         230          -0.0937192           -0.506591           0.0249121
         231          -0.0937192           -0.504804           0.0248683
         232          -0.0937192           -0.503032           0.0248241
         233          -0.0937192           -0.501275           0.0247797
         234          -0.0937192           -0.499534           0.0247349
         235           -0.690747           -0.500347            0.024643
         236           -0.690747           -0.501154           0.0245518
         237         -0.00560272           -0.499063           0.0245371
         238         -0.00560272            -0.49699           0.0245214
         239          -0.0410268           -0.495082           0.0244929
         240          -0.0410268            -0.49319           0.0244638
         241           -0.195837           -0.491956           0.0243934
         242            -1.10509            -0.49449           0.0244238
         243           -0.161014           -0.493117           0.0243619
         244         -0.00374707           -0.491112           0.0243444
         245           -0.508772           -0.491184           0.0242452
         246           -0.508772           -0.491255           0.0241467
         247           -0.508772           -0.491326           0.0240491
         248           -0.510454           -0.491403           0.0239522
         249           -0.533306           -0.491572           0.0238566
         250           -0.269688           -0.490684           0.0237777
         251           -0.269688           -0.489804           0.0236992
         252           -0.823668           -0.491129           0.0236422
         253           -0.823668           -0.492443           0.0235853
         254           -0.741725           -0.493424           0.0235128
         255           -0.723448           -0.494326           0.0234379
         256           -0.723448           -0.495221           0.0233634
         257           -0.723448           -0.496109           0.0232894
         258            -1.08774           -0.498403           0.0233118
         259          0.00209417            -0.49647           0.0233017
         260           -0.912729           -0.498071            0.023267
         261           -0.912729            -0.49966           0.0232321
         262           -0.879605            -0.50111           0.0231886
         263            -1.01004           -0.503045            0.023181
