#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
             0.07525            0.565689            0.987973           -0.237048           0.0024607            0.866667            0.691071
            0.075052             0.84241            0.931436           -0.165117          0.00214172            0.853333           -0.946238
            0.074854            0.521666            0.968969           -0.228886            0.002487            0.853333           -0.495845
            0.074656            0.523984            0.975074           -0.211113          0.00247974            0.906667            0.748829
            0.074458            0.520185            0.987344           -0.193943          0.00225945            0.973333             0.38089
             0.07426             0.60634            0.986866           -0.153412          0.00208035            0.666667           -0.363869
            0.074062            0.588974             1.05083          -0.0483785          0.00189801                0.92            -1.16282
            0.073864            0.516123             1.06066           -0.123407          0.00230487            0.653333            0.633541
            0.073666            0.248091             1.09673           -0.170768          0.00221454            0.773333             1.45329
            0.073468            0.181926              1.0521           -0.236068          0.00255825            0.826667           -0.824438
             0.07327            0.355198            0.977944           -0.254174          0.00267101            0.866667          -0.0125913
            0.073072            0.217053            0.937182           -0.252723          0.00265146            0.893333            -1.35227
            0.072874           -0.397851            0.878941           -0.259724          0.00266384            0.946667           -0.158616
            0.072676           -0.732067            0.870657           -0.253897          0.00270005                0.64            0.932478
            0.072478           -0.148525            0.880058           -0.204436          0.00213078            0.906667            0.618554
             0.07228            -0.37299            0.952619           -0.257599          0.00266689            0.946667           -0.658359
            0.072082           -0.135073            0.945446           -0.239995          0.00246146            0.893333           -0.682959
            0.071884            0.288267            0.926145           -0.247994          0.00255735            0.986667           -0.316004
            0.071686              0.3318            0.953112           -0.251039          0.00261652                0.96           -0.466338
            0.071488          -0.0301164            0.937791           -0.238641          0.00249219            0.813333            0.826826
             0.07129            0.508476            0.902535            -0.25809          0.00269664                   1            0.179659
            0.071092          -0.0383005            0.877736           -0.200995          0.00207757            0.813333            0.336652
            0.070894             0.47025            0.833857           -0.269361          0.00273578                0.96           -0.290119
            0.070696            0.516101            0.763866           -0.271638          0.00276652            0.906667            0.288793
            0.070498            0.623831            0.814781           -0.310781           0.0031544                0.92            -0.95559
              0.0703            0.721351             0.75865           -0.367172          0.00369427            0.906667           -0.353151
            0.070102            0.731291            0.797925           -0.340991          0.00346095            0.746667            0.081705
            0.069904            0.382411            0.738277           -0.323486          0.00331444            0.733333            0.676035
            0.069706            0.471367            0.760819           -0.242499          0.00247289            0.866667           0.0996939
            0.069508             0.52993            0.846443           -0.283458          0.00290441            0.866667             0.18623
             0.06931            0.509936            0.866547           -0.273165          0.00280395            0.733333             0.16923
            0.069112            0.566067            0.843467           -0.293761          0.00299711            0.866667           -0.620099
            0.068914            0.816016             0.84749           -0.296991          0.00301672                 0.6              1.6249
            0.068716            0.715309            0.852568           -0.258594          0.00279664            0.853333             2.03159
            0.068518            0.860143            0.850221           -0.262965          0.00276396                0.72           -0.847407
             0.06832            0.809917              0.8701           -0.196625          0.00226469                0.72             1.64357
            0.068122            0.567969            0.807389           -0.307327          0.00310818            0.906667           0.0732503
            0.067924            0.833856            0.813611           -0.307914          0.00312748            0.893333             1.72012
            0.067726            0.347973            0.922969           -0.254229          0.00263256                   1            0.476419
            0.067528            0.358405              0.9314           -0.257735          0.00264931                0.92            -1.69647
             0.06733            0.461945            0.975578           -0.234462          0.00246744                0.76            0.228592
            0.067132           -0.200436             1.05244           -0.229036          0.00256304            0.893333           -0.354236
            0.066934            0.235555            0.993343           -0.254346          0.00262057            0.906667            -1.29761
            0.066736           -0.416507            0.989063           -0.248272          0.00260145            0.786667            0.956205
            0.066538           0.0849016            0.985653           -0.257277          0.00266433                   1            0.476838
             0.06634           0.0605397            0.992434           -0.246194          0.00256933            0.973333           -0.740217
            0.066142            0.207874             1.03165           -0.240525          0.00257558            0.893333            0.450388
            0.065944            0.304709             1.04051           -0.218383          0.00241343                 0.6           -0.908172
            0.065746           -0.408109            0.974733           -0.240411          0.00255787            0.933333            0.222524
            0.065548           -0.130606             1.05361           -0.248642          0.00260393                0.72           -0.116134
             0.06535            0.201557             1.03362           -0.245841           0.0026298            0.826667          -0.0551901
            0.065152           -0.515127             1.01269           -0.179081          0.00209651            0.973333            0.921119
            0.064954           -0.305423             0.95038           -0.261317          0.00268926                0.88           0.0621027
            0.064756            0.126832            0.940149           -0.231429          0.00237326            0.893333            0.370999
            0.064558           -0.378333             1.05645           -0.237703          0.00244971            0.973333           -0.188087
             0.06436           -0.540399             1.06187           -0.194411          0.00227527            0.906667            0.173267
            0.064162           0.0508955             1.00054           -0.263164          0.00269299                   1            0.492543
            0.063964          -0.0734068              1.0222            -0.25437          0.00265161            0.946667           -0.145279
            0.063766            0.258007             1.04023           -0.223553          0.00240793            0.653333           -0.770112
            0.063568           -0.146347             1.08737           -0.220156          0.00242354            0.693333           0.0273532
             0.06337           -0.448015             1.04371           -0.162859          0.00204844            0.866667            0.281063
            0.063172            0.110835             1.07022           -0.232764          0.00247995            0.986667            0.205675
            0.062974           -0.229105             1.05799           -0.228549          0.00249449            0.773333           -0.102019
            0.062776          -0.0444418             1.04635           -0.242327          0.00258804            0.826667            -1.12932
            0.062578           -0.131276             1.06862            -0.22832          0.00240956                0.92          -0.0342738
             0.06238            0.131587             1.10895           -0.230145          0.00250804            0.666667            0.570978
            0.062182          -0.0472188             1.09296           -0.208525          0.00275193                   1           -0.223712
            0.061984          -0.0290417             1.12118           -0.174514          0.00218746            0.586667              1.0523
            0.061786           -0.474558              1.1065           -0.187642          0.00238808                0.84           -0.680714
            0.061588           -0.324425             1.05373           -0.223805          0.00245028            0.986667            0.709582
             0.06139             0.29247             1.00074           -0.256347          0.00265895            0.973333           0.0544754
            0.061192            0.335402            0.958928            -0.25908          0.00267148            0.946667            0.495139
            0.060994            0.374274             0.94396           -0.252496          0.00265577                0.56            0.275241
            0.060796           0.0603534            0.933201            -0.23885          0.00244875                0.96            0.658356
            0.060598           -0.116072            0.952424           -0.248446          0.00254395                   1            0.399572
              0.0604            0.276746            0.981424            -0.23865          0.00252156            0.826667             1.03817
